Protein.Group	low_moderate_fc	low_moderate_p	low_moderate_B	moderate_high_fc	moderate_high_p	moderate_high_B	diff_fc	diff_B	protein	Protein.Names	Genes	annotate	significant
P61586	-0.42679833005293094	0.007827142725793294	1.0302612900073251	-0.13449565650431017	0.6515919273299267	-6.235951200636861	-0.2923026735486208	7.266212490644186	P61586	RHOA_HUMAN	RHOA	TRUE	TRUE
P20339	-0.16569262889814107	0.04493679969562373	-1.6035551220684345	0.11201720281569952	0.4100072230226669	-5.791020205012739	-0.27770983171384056	4.187465082944304	P20339	RAB5A_HUMAN	RAB5A	FALSE	TRUE
O14975	-0.24563706130993876	0.019964422067728936	-0.43857878612336787	0.030378972004796	0.7619001030957798	-6.640040467414966	-0.2760160333147348	6.201461681291598	O14975	S27A2_HUMAN	SLC27A2	TRUE	TRUE
Q08174	-0.28377985062636335	0.04319930321375365	-1.531265931281819	-0.009963900115945482	0.9673958538122248	-6.840919036705521	-0.27381595051041785	5.309653105423702	Q08174	PCDH1_HUMAN	PCDH1	TRUE	TRUE
P32929	-0.37677051376047577	0.004271827528278119	1.752859630162237	-0.10782026764562924	0.26535316856154156	-5.1686870713644195	-0.2689502461148465	6.9215467015266565	P32929	CGL_HUMAN	CTH	TRUE	TRUE
P18827	-0.31406789741333524	0.019964422067728936	-0.4347496216569908	-0.0483309754956784	0.7997926698502783	-6.697123046962505	-0.26573692191765685	6.2623734253055146	P18827	SDC1_HUMAN	SDC1	TRUE	TRUE
P78310	-0.267987094609647	0.02504588896476206	-0.7361627418517909	-0.00735667582274981	0.9708769520047383	-6.825116536486092	-0.2606304187868972	6.0889537946343015	P78310	CXAR_HUMAN	CXADR	TRUE	TRUE
P07099	-0.23234771462656587	0.015545273823901825	-0.10076539941841656	0.027384399316831103	0.8041621270699937	-6.7035662332925705	-0.25973211394339696	6.602800833874154	P07099	HYEP_HUMAN	EPHX1	TRUE	TRUE
Q9UDR5	-0.3668559127396339	0.0012322387632416115	3.235606045740904	-0.11869650445110023	0.19089032509601242	-4.725202727589742	-0.24815940828853367	7.960808773330646	Q9UDR5	AASS_HUMAN	AASS	TRUE	TRUE
Q8N139	-0.2679289715500992	0.0048289166791162935	1.57799241785031	-0.041440432562100685	0.7655103404592764	-6.645647863122495	-0.22648853898799853	8.223640280972806	Q8N139	ABCA6_HUMAN	ABCA6	TRUE	TRUE
P56199	-0.27932495031962606	0.0062469222000504044	1.207516643542177	-0.05443856242629008	0.6197878818000858	-6.3765307588369255	-0.22488638789333598	7.5840474023791025	P56199	ITA1_HUMAN	ITGA1	TRUE	TRUE
P07306	-0.3234888688737558	7.908871799739022e-5	6.806872885439623	-0.10137511668601917	0.26454081986797573	-5.160918192637514	-0.2221137521877366	11.967791078077138	P07306	ASGR1_HUMAN	ASGR1	TRUE	TRUE
P00439	-0.3207634007361504	0.0038089263372969497	1.9569545743482921	-0.1030278732533094	0.23033305651689912	-4.968683395035794	-0.217735527482841	6.925637969384086	P00439	PH4H_HUMAN	PAH	TRUE	TRUE
Q7Z417	-0.34863585479990106	0.00954411933010121	0.5423666429925689	-0.13122001048987886	0.5648767395209272	-6.245332160404374	-0.2174158443100222	6.7876988033969425	Q7Z417	NUFP2_HUMAN	NUFIP2	TRUE	TRUE
P46977	-0.15966130517381552	0.012597166645213194	0.15116541414746631	0.05681110515910525	0.5279120058898609	-6.147959299039874	-0.21647241033292078	6.29912471318734	P46977	STT3A_HUMAN	STT3A	TRUE	TRUE
O75306	-0.1944709415210401	0.025970162725039037	-0.7824854838609427	0.019993475286801884	0.8698140659866104	-6.776742659416899	-0.214464416807842	5.994257175555957	O75306	NDUS2_HUMAN	NDUFS2	TRUE	TRUE
P13688	-0.2664570547047574	0.003868258631524681	1.9257309274749437	-0.05245177813912202	0.7655103404592764	-6.645650951838194	-0.21400527656563537	8.571381879313137	P13688	CEAM1_HUMAN	CEACAM1	TRUE	TRUE
P51149	-0.19049160764502848	0.004076244841605892	1.8437407317557364	0.018289113274156905	0.8574842427456302	-6.763544350708254	-0.2087807209191854	8.60728508246399	P51149	RAB7A_HUMAN	RAB7A	TRUE	TRUE
Q9BPX5	-0.2257935847283585	0.049882922930265985	-1.75133986897211	-0.017055043367873526	0.9104349957892579	-6.809874312646634	-0.20873854136048497	5.058534443674524	Q9BPX5	ARP5L_HUMAN	ARPC5L	TRUE	TRUE
Q86VR2	-0.24905588961929265	0.026908443375016983	-0.8588712347179399	-0.042242428669142955	0.7763496118719903	-6.663364004939937	-0.20681346095014969	5.804492770221997	Q86VR2	RETR3_HUMAN	RETREG3	TRUE	TRUE
Q96N76	-0.2619334903449707	0.037796398941648705	-1.320797020391148	-0.05588768895859574	0.6534655307887417	-6.445937649716555	-0.20604580138637496	5.125140629325407	Q96N76	HUTU_HUMAN	UROC1	TRUE	TRUE
O75489	-0.21103511951907977	0.03393568247091133	-1.153312839505264	-0.007193269758868436	0.9507793983887654	-6.835239004474945	-0.20384184976021133	5.681926164969681	O75489	NDUS3_HUMAN	NDUFS3	TRUE	TRUE
P45954	-0.29909827733247335	0.017763659009631918	-0.26503706856603415	-0.09705750889817362	0.4733047312279673	-5.980782429475665	-0.20204076843429974	5.715745360909631	P45954	ACDSB_HUMAN	ACADSB	TRUE	TRUE
Q5JWF2	-0.1708662367883098	0.042646448075845556	-1.5100344615849748	0.026088192388316583	0.8756794674271571	-6.783569124393718	-0.1969544291766264	5.273534662808744	Q5JWF2	GNAS1_HUMAN	GNAS	TRUE	TRUE
Q9BYV7	-0.2660040630093466	0.026201114061343806	-0.8155821239293024	-0.07346884809440496	0.656104763995898	-6.4523973973734075	-0.19253521491494163	5.636815273444105	Q9BYV7	BCDO2_HUMAN	BCO2	TRUE	TRUE
Q14677	-0.24125803964648357	0.015545273823901825	-0.10993872816398031	-0.0550616832097129	0.6569443744211556	-6.453572932834986	-0.18619635643677068	6.343634204671005	Q14677	EPN4_HUMAN	CLINT1	TRUE	TRUE
P24752	-0.19077369762628552	0.037796398941648705	-1.321192692533545	-0.00581734754617952	0.964787574404529	-6.839736512801743	-0.184956350080106	5.518543820268198	P24752	THIL_HUMAN	ACAT1	TRUE	TRUE
P31513	-0.24478965873014294	0.007382873589766592	0.9328062807823283	-0.059884614400258745	0.6169781778725781	-6.369646484233067	-0.1849050443298842	7.302452765015396	P31513	FMO3_HUMAN	FMO3	TRUE	TRUE
O95954	-0.23036273574929214	0.010007903219562417	0.4713365555125142	-0.06415114808398198	0.3792427970707701	-5.695884564564648	-0.16621158766531016	6.167221120077162	O95954	FTCD_HUMAN	FTCD	TRUE	TRUE
Q9NR50	-0.1878163172568128	0.04280331381017887	-1.5181530594701416	-0.031219311080101227	0.8698140659866104	-6.777032574384986	-0.15659700617671157	5.258879514914844	Q9NR50	EI2BG_HUMAN	EIF2B3	TRUE	TRUE
Q53FZ2	-0.2596555685910413	0.005314139468806002	1.4682771955843723	-0.10600000782381043	0.25272771232846003	-5.097806794156805	-0.15365556076723086	6.566083989741177	Q53FZ2	ACSM3_HUMAN	ACSM3	TRUE	TRUE
Q9H222	-0.4073782349791379	0.011762722551400671	0.3534909607873402	-0.2556265441412607	0.3884556199018658	-5.53231227227894	-0.1517516908378772	5.88580323306628	Q9H222	ABCG5_HUMAN	ABCG5	TRUE	TRUE
P11168	-0.35398829294535095	0.004776682716140509	1.6025948394660086	-0.20629669570117318	0.042453649030868915	-2.7361303493978104	-0.14769159724417777	4.338725188863819	P11168	GTR2_HUMAN	SLC2A2	FALSE	TRUE
Q15599	-0.21342051906165324	0.044631249941357566	-1.5822245629516312	-0.06640305506366206	0.4870132165708888	-6.026808390813684	-0.14701746399799118	4.444583827862052	Q15599	NHRF2_HUMAN	SLC9A3R2	FALSE	TRUE
Q16822	-0.16291138171134245	0.04615278579791116	-1.6370234909583194	-0.028224024329893342	0.7662004365383335	-6.64632017373471	-0.1346873573814491	5.009296682776391	Q16822	PCKGM_HUMAN	PCK2	TRUE	TRUE
O15020	-0.2386791657346361	0.005590522115332833	1.3974357578601584	-0.1039988572815929	0.3276991827675074	-5.493110679404973	-0.13468030845304318	6.890546437265131	O15020	SPTN2_HUMAN	SPTBN2	TRUE	TRUE
O15031	-0.18897361895732226	0.0322695675227387	-1.0845312723702358	-0.05612978119477131	0.6179787385710869	-6.37302442648401	-0.13284383776255096	5.288493154113774	O15031	PLXB2_HUMAN	PLXNB2	TRUE	TRUE
Q02083	-0.23529446524012979	0.0477417526448723	-1.68689791354626	-0.10551274242669743	0.32338657928529546	-5.477947185964622	-0.12978172281343237	3.7910492724183618	Q02083	NAAA_HUMAN	NAAA	FALSE	TRUE
Q8IXS6	-0.2222008842329996	0.02242215556097514	-0.6071683451242889	-0.09848614657085705	0.5774267349882808	-6.283242446652625	-0.12371473766214255	5.676074101528336	Q8IXS6	PALM2_HUMAN	PALM2	TRUE	TRUE
Q6NUQ4	-0.21979325194784824	0.04161637647140166	-1.45468132025234	-0.10511628974766433	0.47743107045170785	-5.996590716592718	-0.1146769622001839	4.541909396340378	Q6NUQ4	TM214_HUMAN	TMEM214	FALSE	TRUE
Q9UKS6	-0.24394894879680046	0.049989037730738685	-1.769689954094349	-0.12973079947892122	0.30096991789047794	-5.367403872290061	-0.11421814931787924	3.597713918195712	Q9UKS6	PACN3_HUMAN	PACSIN3	FALSE	TRUE
Q02252	-0.25265167269824246	0.006866256105355296	1.0525709144916222	-0.15370779907693488	0.10037697219265976	-3.8826101662017223	-0.09894387362130758	4.9351810806933445	Q02252	MMSA_HUMAN	ALDH6A1	FALSE	TRUE
Q7KZF4	-0.14981800783801927	0.015853906349748398	-0.15070471664736562	-0.05289680302695932	0.501170353097072	-6.070649970269343	-0.09692120481105995	5.919945253621977	Q7KZF4	SND1_HUMAN	SND1	TRUE	TRUE
P10253	-0.1877928704727762	0.02026066266686563	-0.45923054307524147	-0.09374603429574936	0.37803932731284934	-5.688851198045508	-0.09404683617702685	5.229620654970266	P10253	LYAG_HUMAN	GAA	TRUE	TRUE
Q9H2X3	-0.3046066926442365	0.04998442874740746	-1.7288520928136641	-0.21220455280534606	0.19354177434568923	-4.666257577076489	-0.09240213983889045	2.9374054842628246	Q9H2X3	CLC4M_HUMAN	CLEC4M	FALSE	TRUE
Q9Y678	-0.13484333625919626	0.0301237573836438	-1.0091821755528283	-0.042727364732992955	0.550009767139705	-6.205440900063989	-0.0921159715262033	5.196258724511161	Q9Y678	COPG1_HUMAN	COPG1	TRUE	TRUE
O95342	-0.2947763383508364	0.002832895290870687	2.3005639619531637	-0.20703565792893178	0.06462536405100716	-3.2816662784263317	-0.08774068042190461	5.582230240379495	O95342	ABCBB_HUMAN	ABCB11	TRUE	TRUE
P15907	-0.3268341169297054	0.015545273823901825	-0.11657068572391349	-0.24264508189848735	0.03819129828773457	-2.544930581127386	-0.08418903503121802	2.4283598954034726	P15907	SIAT1_HUMAN	ST6GAL1	FALSE	TRUE
P05177	-0.57644494734877	0.03906676869181072	-1.37663357799285	-0.4925096251891408	0.038354461517235136	-2.5948546172270666	-0.08393532215962923	1.2182210392342165	P05177	CP1A2_HUMAN	CYP1A2	FALSE	TRUE
Q99805	-0.24380397228139852	0.042646448075845556	-1.5101579169512283	-0.16035551943111176	0.29951941278702054	-5.360279082576556	-0.08344845285028676	3.8501211656253274	Q99805	TM9S2_HUMAN	TM9SF2	FALSE	TRUE
P23526	-0.18544741886550786	0.044631249941357566	-1.5840161055618536	-0.10301823047180066	0.07095428818575183	-3.3920624073636274	-0.0824291883937072	1.8080463018017738	P23526	SAHH_HUMAN	AHCY	FALSE	TRUE
Q8NB49	-0.27566682395648084	0.004271827528278119	1.7558745388864194	-0.19775967694422913	0.19031393554824333	-4.720379693462439	-0.07790714701225171	6.476254232348858	Q8NB49	AT11C_HUMAN	ATP11C	TRUE	TRUE
Q9BX66	-0.19513371016317965	0.019964422067728936	-0.4302276564342682	-0.11849929110609142	0.17618392003663919	-4.613327302360389	-0.07663441905708823	4.183099645926121	Q9BX66	SRBS1_HUMAN	SORBS1	FALSE	TRUE
Q10471	-0.24243114632744872	0.026201114061343806	-0.8201959545607957	-0.16878324441087267	0.18170064762298455	-4.650264199931172	-0.07364790191657605	3.8300682453703763	Q10471	GALT2_HUMAN	GALNT2	FALSE	TRUE
Q92947	-0.2681742820070113	0.006854853685524096	1.0657695176599713	-0.19880343448242807	0.14089704291803304	-4.2969148578970024	-0.06937084752458325	5.362684375556974	Q92947	GCDH_HUMAN	GCDH	TRUE	TRUE
P36551	-0.2745707264151987	0.00954411933010121	0.5511708617277176	-0.20673310522015784	0.054972414461964964	-3.0672253504873415	-0.06783762119504086	3.618396212215059	P36551	HEM6_HUMAN	CPOX	FALSE	TRUE
P35558	-0.2682280604129789	0.042476609210134686	-1.497210734889154	-0.2011691150103762	0.042453649030868915	-2.735376211463617	-0.06705894540260271	1.238165476574463	P35558	PCKGC_HUMAN	PCK1	FALSE	TRUE
Q9NPD5	-0.5501178209955048	0.011100696595132707	0.34413948969921826	-0.48676134315565467	0.03927848337984973	-2.564949190464966	-0.0633564778398501	2.909088680164184	Q9NPD5	SO1B3_HUMAN	SLCO1B3	FALSE	TRUE
P28332	-0.24509080410145934	0.025249362545737432	-0.7499592072353423	-0.1847847690564691	0.07010501642522632	-3.378157697408352	-0.06030603504499024	2.6281984901730095	P28332	ADH6_HUMAN	ADH6	FALSE	TRUE
Q00266	-0.21183769581408315	0.033289452578916606	-1.1245373356603583	-0.15434183461096676	0.03374184135017765	-2.450658596401535	-0.057495861203116394	1.3261212607411768	Q00266	METK1_HUMAN	MAT1A	FALSE	TRUE
P48444	-0.15763223639831433	0.03846144942069941	-1.3473779783608766	-0.10406677561439394	0.10430169526530307	-3.9392263431671686	-0.053565460783920396	2.591848364806292	P48444	COPD_HUMAN	ARCN1	FALSE	TRUE
Q92614	-0.14702874520730969	0.03297573794733552	-1.1102336009956426	-0.09376949010852274	0.1674075118486869	-4.537034350944312	-0.05325925509878694	3.4268007499486695	Q92614	MY18A_HUMAN	MYO18A	FALSE	TRUE
P62424	-0.14193220775814672	0.02685935137214141	-0.8502062918717241	-0.110893467517393	0.2672358523032502	-5.17723528928566	-0.031038740240753718	4.327028997413936	P62424	RL7A_HUMAN	RPL7A	FALSE	TRUE
P42765	-0.14789818520807196	0.04223208992754556	-1.477808684933505	-0.11801304961728945	0.06018853767757747	-3.193917487978333	-0.029885135590782513	1.7161088030448282	P42765	THIM_HUMAN	ACAA2	FALSE	TRUE
Q8N159	-0.3149684299436279	0.006190224210958238	1.2480895606910396	-0.2857718512602012	0.022628717068325636	-1.9448205542063226	-0.029196578683426677	3.192910114897362	Q8N159	NAGS_HUMAN	NAGS	FALSE	TRUE
Q9NY15	-0.37403087693467013	0.07161943905829307	-2.325940246318508	-0.361901188996433	0.04881776973441942	-2.9152724228557534	-0.012129687938237155	0.5893321765372455	Q9NY15	STAB1_HUMAN	STAB1	FALSE	TRUE
P05181	-0.4911743536893635	0.0012296243778218323	3.280013406129556	-0.4825360626967952	0.015776351537297496	-1.4641917934111737	-0.008638290992568298	4.74420519954073	P05181	CP2E1_HUMAN	CYP2E1	FALSE	TRUE
P26572	-0.20907273463709317	0.03846144942069941	-1.3445755403141764	-0.2043703260053349	0.08572548236466229	-3.6565456607656905	-0.004702408631758276	2.311970120451514	P26572	MGAT1_HUMAN	MGAT1	FALSE	TRUE
P08133	-0.16228197648130574	0.0303915546561122	-1.023021967042685	-0.17480761423874264	0.030190671619355198	-2.3233211321149323	0.012525637757436897	1.3002991650722473	P08133	ANXA6_HUMAN	ANXA6	FALSE	TRUE
Q00341	-0.13252494139463575	0.04132321994874944	-1.4433334325434437	-0.1455652926884996	0.02108751639303589	-1.8288665734572165	0.013040351293863855	0.3855331409137728	Q00341	VIGLN_HUMAN	HDLBP	FALSE	TRUE
