Protein.Group	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	protein	Protein.Names	Genes	group
Q96HE7	1.0135458537478819	0.8611291425566356	1.165962564939128	19.96430545117282	13.287668106086059	5.767182186324406e-20	1.79268305223326e-17	35.12184626828842	Q96HE7	ERO1A_HUMAN	ERO1A	upregulated
P23141	0.9902989931567019	0.839921398591727	1.1406765877216767	26.916047462949592	13.158947699221407	9.085943296002372e-20	2.6830790553095007e-17	34.673306806637655	P23141	EST1_HUMAN	CES1	upregulated
P05155	0.8851550336057671	0.7498775321592009	1.0204325350523333	19.80825542772098	13.074699826694427	1.2248187716643407e-19	3.444656983547427e-17	34.3785483136999	P05155	IC1_HUMAN	SERPING1	upregulated
O75356	0.866489557334614	0.7331460634050148	0.9998330512642132	21.988016563311273	12.984626431303411	1.6872453331381575e-19	4.5294867897790714e-17	34.06236999964062	O75356	ENTP5_HUMAN	ENTPD5	upregulated
P08697	1.004967582037253	0.8497863959796998	1.1601487680948062	18.02179664892998	12.94049658979473	1.9746731825219876e-19	5.070617311293417e-17	33.907073141256184	P08697	A2AP_HUMAN	SERPINF2	upregulated
P05546	1.0741458872164062	0.9076186466123961	1.2406731278204164	17.892551969662325	12.888902578515246	2.3741290679226815e-19	5.842335947979732e-17	33.725183593476	P05546	HEP2_HUMAN	SERPIND1	upregulated
P00450	0.7902017641013122	0.667333232478115	0.9130702957245093	20.918913496112403	12.850951473353975	2.7192610004786834e-19	6.423982187530841e-17	33.59116693603232	P00450	CERU_HUMAN	CP	upregulated
P43251	1.1578288160421135	0.9735885841466702	1.3420690479375568	16.799842835652687	12.557345381262719	7.819449606083218e-19	1.7762180528279804e-16	32.547967076764884	P43251	BTD_HUMAN	BTD	upregulated
Q9Y2B0	1.0446659969905656	0.872760372064207	1.2165716219169243	19.81332897983987	12.142981361957748	3.536883187521609e-18	7.478255658807495e-16	31.05661709168713	Q9Y2B0	CNPY2_HUMAN	CNPY2	upregulated
P23284	0.8799849705499754	0.735170711776104	1.0247992293238466	22.954245251971848	12.142325923862513	3.5453971968609865e-18	7.478255658807495e-16	31.054240558460293	P23284	PPIB_HUMAN	PPIB	upregulated
Q14697	0.674332712742299	0.5622746295628365	0.7863907959217615	23.833968302391114	12.0245545234076	5.465923155152332e-18	1.1131635225630922e-15	30.62632631365195	Q14697	GANAB_HUMAN	GANAB	upregulated
O43852	0.8995337049122248	0.7486572422985565	1.0504101675258932	18.566417464024376	11.913350091715603	8.238806106249392e-18	1.621946295450297e-15	30.220654323094607	O43852	CALU_HUMAN	CALU	upregulated
Q15084	0.7629394916551305	0.6338944897589659	0.8919844935512952	24.118709550296742	11.813725192302167	1.1914366436764675e-17	2.2508055492964682e-15	29.855898581497925	Q15084	PDIA6_HUMAN	PDIA6	upregulated
Q8NI22	1.4973647501466543	1.2439628989638731	1.7507666013294354	17.386773328482093	11.807440852970764	1.219535685362123e-17	2.2508055492964682e-15	29.832847984717013	Q8NI22	MCFD2_HUMAN	MCFD2	upregulated
P11226	1.3755240433972802	1.140521695581644	1.6105263912129164	21.17852418551618	11.69590795378369	1.8459215137402814e-17	3.303640139439425e-15	29.42293073322496	P11226	MBL2_HUMAN	MBL2	upregulated
Q86YB8	1.0987829466463093	0.9104821650539829	1.2870837282386356	15.758381584284644	11.659978367059441	2.1103039888251177e-17	3.6657221641179844e-15	29.290548881735837	Q86YB8	ERO1B_HUMAN	ERO1B	upregulated
P0C0L4	0.5950869347451387	0.4926451482028095	0.6975287212874679	22.333622437498455	11.607567783717942	2.566041876018014e-17	4.330012377074968e-15	29.097156526131457	P0C0L4	CO4A_HUMAN	C4A	upregulated
Q9Y2G5	1.0467506725062363	0.865739158501511	1.2277621865109616	16.336110505291312	11.555134489882672	3.121499618675691e-17	5.120993541082953e-15	28.90334141886173	Q9Y2G5	OFUT2_HUMAN	POFUT2	upregulated
P00738	0.7976704119250009	0.6586589104173832	0.9366819134326185	21.88787476369121	11.465967477518458	4.359242525627989e-17	6.9582936098267305e-15	28.57296922644189	P00738	HPT_HUMAN	HP	upregulated
O15254	0.9412484341049454	0.7769461777710869	1.105550690438804	20.290245577774982	11.447184853444364	4.6775378165770685e-17	7.269878511764254e-15	28.503254129586473	O15254	ACOX3_HUMAN	ACOX3	upregulated
P11021	0.6642977597981408	0.5470668560752157	0.7815286635210659	25.232342591309052	11.322925030170996	7.463747842225128e-17	1.1302793527226053e-14	28.040965027307806	P11021	BIP_HUMAN	HSPA5	upregulated
Q9UMX5	1.2068115876912038	0.9933142132093755	1.420308962173032	16.866111436012076	11.294965009918629	8.293352317417974e-17	1.2245134696667639e-14	27.936687926432995	Q9UMX5	NENF_HUMAN	NENF	upregulated
P02787	1.05618504578857	0.8681420509673139	1.244228040609826	22.859532581744674	11.223306201493363	1.0869864003871792e-16	1.5657906538260197e-14	27.669009463178163	P02787	TRFE_HUMAN	TF	upregulated
Q14764	0.8233386960522777	0.6766624582093017	0.9700149338952537	19.681072480625232	11.216483508104224	1.1153839793311654e-16	1.5684423290309198e-14	27.643491719842118	Q14764	MVP_HUMAN	MVP	upregulated
P14314	0.7178268116226612	0.5891910876946859	0.8464625355506364	22.062060425587212	11.150543534080054	1.4315093809003275e-16	1.9661614892086824e-14	27.39658389599706	P14314	GLU2B_HUMAN	PRKCSH	upregulated
O95479	0.6735502710586073	0.5511373118229608	0.7959632302942539	21.867755530544578	10.994628902065056	2.58762024220089e-16	3.4732920796451033e-14	26.810743857664733	O95479	G6PE_HUMAN	H6PD	upregulated
Q9UJ83	0.7045577219475928	0.5742313610707936	0.834884082824392	20.43369038232259	10.802450065743898	5.388360672426043e-16	7.071924029188491e-14	26.084790721652602	Q9UJ83	HACL1_HUMAN	HACL1	upregulated
Q9BQE4	1.1619954806656274	0.9463720323736091	1.3776189289576457	14.320299087833545	10.768281713097885	6.1416043053698425e-16	7.885285875546585e-14	25.955282768865054	Q9BQE4	SELS_HUMAN	SELENOS	upregulated
Q08380	2.633097619925817	2.144230241481896	3.121964998369738	21.553628232714814	10.762517215340353	6.278765428459679e-16	7.889869919251673e-14	25.933420785067696	Q08380	LG3BP_HUMAN	LGALS3BP	upregulated
P30101	0.6706526606081035	0.5449716355409027	0.7963336856753043	24.64391773569751	10.662668187045046	9.210426231815884e-16	1.1332661942730128e-13	25.554156070728602	P30101	PDIA3_HUMAN	PDIA3	upregulated
P04070	1.2116662459895498	0.9827492540905638	1.4405832378885357	17.31948204943926	10.576523439010884	1.282993468593163e-15	1.5463998827573919e-13	25.22606592371602	P04070	PROC_HUMAN	PROC	upregulated
Q9H173	1.371372918483018	1.111792993735634	1.630952843230402	16.35645261801233	10.55986817544211	1.663973233845037e-15	1.9654851838177577e-13	24.98153926248763	Q9H173	SIL1_HUMAN	SIL1	upregulated
Q9UNW1	1.031403676508242	0.8349334697463731	1.2278738832701108	18.764356339325243	10.48986574381353	1.7921521533083128e-15	2.0753824740076263e-13	24.89521321470709	Q9UNW1	MINP1_HUMAN	MINPP1	upregulated
P30040	0.6244050844117609	0.5053153377921904	0.7434948310313314	20.817484247137997	10.47683288163836	1.88466721414196e-15	2.1405470320620031e-13	24.84538531945562	P30040	ERP29_HUMAN	ERP29	upregulated
Q9NYU2	0.46725130103243595	0.37789005404597753	0.5566125480188944	21.521757648465943	10.448146553728648	2.1056061135006557e-15	2.346360321949976e-13	24.73564691801279	Q9NYU2	UGGG1_HUMAN	UGGT1	upregulated
Q13162	0.7502168371624294	0.6061604978021814	0.8942731765226773	24.521177518999068	10.406205285353346	2.4764634840743378e-15	2.708517284619081e-13	24.57504624333217	Q13162	PRDX4_HUMAN	PRDX4	upregulated
P51659	0.7421632145469531	0.598501716421602	0.8858247126723042	26.23407485978449	10.322787578105078	3.421341271806034e-15	3.673898463870261e-13	24.255079760668163	P51659	DHB4_HUMAN	HSD17B4	upregulated
O60568	0.6852298533685294	0.5518072158733778	0.818652490863681	17.71221708001513	10.262300109336275	4.326838981181655e-15	4.56326982551051e-13	24.022619371857964	O60568	PLOD3_HUMAN	PLOD3	upregulated
Q99489	0.9710942938753315	0.7817792763261784	1.1604093114244847	16.79162828841863	10.249774081284007	4.542638927892075e-15	4.697610753653486e-13	23.974433882219365	Q99489	OXDD_HUMAN	DDO	upregulated
Q6UW63	1.006912738973619	0.8113885335622668	1.2024369443849712	15.634201628164936	10.293553729246469	4.613298742158859e-15	4.697610753653486e-13	23.972541488316768	Q6UW63	PLGT2_HUMAN	POGLUT2	upregulated
P07360	1.7505947724129438	1.407993491561545	2.0931960532643425	17.57442350243393	10.210208289894753	5.29809795617226e-15	5.303485852398877e-13	23.822127138902204	P07360	CO8G_HUMAN	C8G	upregulated
P01024	0.5613016242734185	0.4510420515267204	0.6715611970201165	23.312094965944144	10.172271676253095	6.141077644675449e-15	6.0448674282422e-13	23.6759446624448	P01024	CO3_HUMAN	C3	upregulated
P08709	1.0266968242059844	0.8242413903685102	1.2291522580434586	18.413961850443705	10.13329621261401	7.14808622552558e-15	6.920753647205586e-13	23.525610490127672	P08709	FA7_HUMAN	F7	upregulated
Q969H8	1.216952469640232	0.9763606813942113	1.4575442578862527	18.629121588153588	10.10719798862183	7.913770284658933e-15	7.538504403418654e-13	23.424862243173482	Q969H8	MYDGF_HUMAN	MYDGF	upregulated
Q9BS26	0.5721608664516845	0.4581155021577689	0.6862062307456002	20.72623431430531	10.024863560523448	1.0914251993329798e-14	1.0231678138508856e-12	23.10658914760594	Q9BS26	ERP44_HUMAN	ERP44	upregulated
P02753	1.3063280971242124	1.0439416854096768	1.568714508838748	19.50975931414475	9.948300255829423	1.4725572869171587e-14	1.3588942713332405e-12	22.810043945193367	P02753	RET4_HUMAN	RBP4	upregulated
Q9H488	1.0587104575507713	0.8468753077502934	1.270545607351249	17.483252882460263	9.992951237412921	1.756409914731508e-14	1.5959010702160439e-12	22.659176777152073	Q9H488	OFUT1_HUMAN	POFUT1	upregulated
O00116	0.6392313881731034	0.5090129226372009	0.769449853709006	18.25063691609014	9.808971562572712	2.5432997941642218e-14	2.2758679673233173e-12	22.268999142981567	O00116	ADAS_HUMAN	AGPS	upregulated
O14734	0.8181837542246408	0.6509624328596775	0.9854050755896042	18.168714668274152	9.776809609899304	2.8859587756695444e-14	2.5439511237469148e-12	22.143857312596452	O14734	ACOT8_HUMAN	ACOT8	upregulated
Q14696	0.7444076202283176	0.5893592162302688	0.8994560242263665	19.243360236722584	9.593596909570856	5.939447177825638e-14	5.158584563564444e-12	21.42926073352228	Q14696	MESD_HUMAN	MESD	upregulated
Q9NUI1	0.732446703695458	0.578598049760853	0.8862953576300628	21.862965241881483	9.513061073280737	8.164473603056957e-14	6.988316101399186e-12	21.11424921451887	Q9NUI1	DECR2_HUMAN	DECR2	upregulated
P11216	0.45883762035960396	0.3621984291365232	0.5554768115826847	20.929138996490735	9.487323052257171	9.039371515325867e-14	7.626646881359223e-12	21.013465692863093	P11216	PYGB_HUMAN	PYGB	upregulated
P30533	0.7663167386366263	0.6038864903135823	0.9287469869596703	17.887429002994192	9.427127059553028	1.1471694645586679e-13	9.542511067159848e-12	20.777549072567712	P30533	AMRP_HUMAN	LRPAP1	upregulated
P04196	0.7543907593080478	0.5944224775786429	0.9143590410374527	18.818466724945363	9.423244006955915	1.1649510488256676e-13	9.5558345755061e-12	20.76232113104354	P04196	HRG_HUMAN	HRG	upregulated
P27797	0.5928812783539124	0.46467920527971257	0.7210833514281121	22.46634871683974	9.240822868862809	2.4027165876979464e-13	1.9438964612252154e-11	20.045653840368203	P27797	CALR_HUMAN	CALR	upregulated
P26885	0.758268790252548	0.5938192289733368	0.9227183515317592	20.123461834661974	9.213580163754619	2.6776102364301323e-13	2.1370224400481568e-11	19.93841978364875	P26885	FKBP2_HUMAN	FKBP2	upregulated
P01023	0.7061576806650878	0.5529223297241869	0.8593930316059887	21.399391454966473	9.208325801599155	2.734158551979866e-13	2.1530587210657452e-11	19.917731340962252	P01023	A2MG_HUMAN	A2M	upregulated
Q8NBK3	1.145534165166763	0.8940694210677975	1.3969989092657285	15.749329987693754	9.102672099415303	4.1639914245604474e-13	3.235859651770264e-11	19.501332983582685	Q8NBK3	SUMF1_HUMAN	SUMF1	upregulated
P28288	0.6083036910840985	0.4733606360557502	0.7432467461124469	21.938417960920045	9.00757466001479	6.084537863031084e-13	4.666919560917088e-11	19.125914188972306	P28288	ABCD3_HUMAN	ABCD3	upregulated
Q9UJM8	0.6448806372568376	0.4994340310249882	0.7903272434886871	24.996029310043486	8.859591587134432	1.0991332924318288e-12	8.322411827054334e-11	18.540626700090062	Q9UJM8	HAOX1_HUMAN	HAO1	upregulated
P07357	0.9406406083222055	0.7303405528651129	1.150940663779298	15.169842856713391	8.946315243780523	1.1754623758556385e-12	8.787697204814431e-11	18.507106292398785	P07357	CO8A_HUMAN	C8A	upregulated
Q08426	0.6862106111225112	0.5302333077396715	0.842187914505351	26.31813333321173	8.790912929367767	1.446891060341717e-12	1.0681673252972727e-10	18.268577971818097	Q08426	ECHP_HUMAN	EHHADH	upregulated
Q9P0Z9	0.7630811991663806	0.5892205734464732	0.9369418248862881	23.660185332894184	8.7701591020172	1.5723006373502058e-12	1.146420686937076e-10	18.186319400184725	Q9P0Z9	SOX_HUMAN	PIPOX	upregulated
P55157	0.5418981218649628	0.41826610474021453	0.665530138989711	24.00251462095908	8.75839741704135	1.6481578093362414e-12	1.1870756124316882e-10	18.139691747577917	P55157	MTP_HUMAN	MTTP	upregulated
Q9UHF1	1.4440755915065935	1.1197378975486938	1.7684132854644932	17.178572455430672	8.914950673373534	2.0529525791751613e-12	1.4595050557642755e-10	18.00323304540337	Q9UHF1	EGFL7_HUMAN	EGFL7	upregulated
Q9UKY3	0.995383605152963	0.7667882334506497	1.2239789768552762	20.8162358210877	8.700836484802648	2.0758283895055732e-12	1.4595050557642755e-10	17.911399806912716	Q9UKY3	CES1P_HUMAN	CES1P1	upregulated
Q9BWS9	0.7814619899291169	0.5999277198753517	0.9629962599828821	17.76441836082756	8.601757455492029	3.0890635518710044e-12	2.1463540396882532e-10	17.518078085116652	Q9BWS9	CHID1_HUMAN	CHID1	upregulated
Q9BXT2	0.7095613836628075	0.5441593859509092	0.8749633813747059	19.47642302959982	8.572099001855394	3.479721593017568e-12	2.3896785730653204e-10	17.400256500262017	Q9BXT2	CCG6_HUMAN	CACNG6	upregulated
P07225	0.8624248271394307	0.6560611846540765	1.068788469624785	16.543833528001187	8.35076038467696	8.472995549532509e-12	5.751897898337816e-10	16.519903034132525	P07225	PROS_HUMAN	PROS1	upregulated
Q709F0	0.5835490325383218	0.4433922555536657	0.7237058095229779	22.033048881422083	8.319576284774653	9.606307733379084e-12	6.447142440151917e-10	16.39574027751932	Q709F0	ACD11_HUMAN	ACAD11	upregulated
P00751	0.6007315661378854	0.4558601737721295	0.7456029585036412	19.250433191333126	8.285825366274885	1.100474644519889e-11	7.302700281499397e-10	16.2613266727791	P00751	CFAB_HUMAN	CFB	upregulated
P50454	0.6698348310630513	0.5050222606719506	0.8346474014541521	18.469604550721083	8.121109216854775	2.1372351705055915e-11	1.4025012130006693e-9	15.604953226379713	P50454	SERPH_HUMAN	SERPINH1	upregulated
Q9UBS4	0.6217511928881165	0.46708925291662184	0.7764131328596112	17.215793753293873	8.032877252279404	3.050646064919988e-11	1.9636072048881642e-9	15.253156649315436	Q9UBS4	DJB11_HUMAN	DNAJB11	upregulated
P02743	0.7841324235830931	0.5890617648065054	0.9792030823596808	21.255832310977464	8.032216730887953	3.0587853513327314e-11	1.9636072048881642e-9	15.25052264707098	P02743	SAMP_HUMAN	APCS	upregulated
Q99424	0.7102997598561338	0.533095069132967	0.8875044505793006	23.678882993235934	8.009481654344155	3.3525950712051354e-11	2.1290781172621e-9	15.159857683170596	Q99424	ACOX2_HUMAN	ACOX2	upregulated
P00747	0.8159189328862663	0.6119234837105502	1.0199143820619825	18.403200145872304	7.992165867853899	3.595185058874416e-11	2.258847123160883e-9	15.090800778838535	P00747	PLMN_HUMAN	PLG	upregulated
P19827	0.4909670399628884	0.3678863089612599	0.6140477709645169	18.075939154391587	7.970769083145814	3.9193586309325416e-11	2.436603376240799e-9	15.005464878085892	P19827	ITIH1_HUMAN	ITIH1	upregulated
P02750	0.9502730397738501	0.7103315807992316	1.1902144987484686	15.748169137360401	7.913727097539204	4.9338349207001016e-11	3.0353363585057085e-9	14.777951736105823	P02750	A2GL_HUMAN	LRG1	upregulated
P50591	2.6989254827599454	2.1050059806536296	3.292844984866261	15.410048333625955	9.242889892653622	1.0461453478579266e-10	6.365968080319349e-9	14.453085388424563	P50591	TNF10_HUMAN	TNFSF10	upregulated
Q6P179	0.8537992208480631	0.654442066366113	1.0531563753300133	20.131232147356098	8.661047160104424	1.2088198268062576e-10	7.139289897117758e-9	14.222763416095695	Q6P179	ERAP2_HUMAN	ERAP2	upregulated
Q8NBL1	0.7815892307065023	0.5805420084337019	0.9826364529793028	15.275518886082429	7.773114751998926	1.0563238602629465e-10	6.365968080319349e-9	14.049238228770273	Q8NBL1	PGLT1_HUMAN	POGLUT1	upregulated
Q06278	-0.5359390438511721	-0.6750607570665155	-0.39681733063582864	23.660868810977643	-7.697654897767248	1.1802672486480345e-10	7.041069061126557e-9	13.916134792570382	Q06278	AOXA_HUMAN	AOX1	downregulated
Q8IXB1	0.721389939831421	0.5336935208843194	0.9090863587785225	16.15456171398435	7.684731254876181	1.500836002575131e-10	8.776175674464084e-9	13.710315863203267	Q8IXB1	DJC10_HUMAN	DNAJC10	upregulated
P04181	-1.3192506143785974	-1.664687260569288	-0.9738139681879068	18.28182502444465	-7.64133046330211	2.1642599754560102e-10	1.2531489622591368e-8	13.377291306697074	P04181	OAT_HUMAN	OAT	downregulated
Q9UDR5	-0.5029371362459409	-0.6364687794695564	-0.3694054930223255	20.023466492019416	-7.52605639068011	2.359424501049338e-10	1.3528894274948922e-8	13.232030389682375	Q9UDR5	AASS_HUMAN	AASS	downregulated
Q96PD5	0.9672395568586444	0.7099217212161009	1.224557392501188	18.338844765885373	7.511075310562619	2.5064765858329586e-10	1.4233894919162936e-8	13.172333017889969	Q96PD5	PGRP2_HUMAN	PGLYRP2	upregulated
P11586	-0.38294273734524076	-0.48520549302250754	-0.280679981667974	24.78029877461966	-7.482630550502991	2.811353806565302e-10	1.5813195791975882e-8	13.059000116740975	P11586	C1TC_HUMAN	MTHFD1	downregulated
Q07065	0.3797769435633707	0.27712308656416573	0.4824308005625757	20.959968375751725	7.392499097362873	4.044261320636315e-10	2.253340316950762e-8	12.700037791140904	Q07065	CKAP4_HUMAN	CKAP4	upregulated
P09110	0.5603158898858158	0.40869738120217053	0.7119343985694611	25.045767896328524	7.384458854525217	4.177567708721505e-10	2.3058612044588046e-8	12.668028638382982	P09110	THIK_HUMAN	ACAA1	upregulated
P08603	0.6666039062334458	0.4857342862460269	0.8474735262208647	18.015789066062936	7.364447746320564	4.528711647404179e-10	2.4765343508860258e-8	12.588371703853145	P08603	CFAH_HUMAN	CFH	upregulated
P07306	-0.393900070642131	-0.5011571180042009	-0.28664302328006114	19.707955408920927	-7.338345892041678	5.03139047431602e-10	2.7261827652578363e-8	12.48449125826416	P07306	ASGR1_HUMAN	ASGR1	downregulated
P21549	0.5668134127286222	0.4120190590563654	0.721607766400879	26.91306504623668	7.316829925680451	5.487369348059787e-10	2.946218488149191e-8	12.39888102412981	P21549	AGT1_HUMAN	AGXT	upregulated
P13667	0.41251465442013663	0.2997984300826654	0.5252308787576079	23.736212742098868	7.31292139706828	5.57452357621142e-10	2.9660483100094278e-8	12.383331249791567	P13667	PDIA4_HUMAN	PDIA4	upregulated
P02774	0.9818679067196515	0.7130369884843338	1.250698824954969	17.344586636755118	7.298133550559285	5.916959242386e-10	3.120139400493903e-8	12.324504494909359	P02774	VTDB_HUMAN	GC	upregulated
Q13501	1.1710812765569905	0.8501247436736942	1.4920378094402866	17.68138526192416	7.290860260038333	6.093008546073778e-10	3.184540572841747e-8	12.295574266730974	Q13501	SQSTM_HUMAN	SQSTM1	upregulated
P06681	0.5963896208149654	0.4321791550939554	0.7606000865359754	17.306452657136134	7.25716839829495	6.979213850419354e-10	3.6157225439102376e-8	12.161590711755494	P06681	CO2_HUMAN	C2	upregulated
O94875	-0.47383266426053444	-0.60486181873917	-0.3428035097818989	18.954040471207957	-7.2259510358248304	7.914725482629182e-10	4.064727713078952e-8	12.037492351166787	O94875	SRBS2_HUMAN	SORBS2	downregulated
Q9BSG0	1.2010140062596841	0.877601084236	1.5244269282833682	12.5064435503991	7.454458169847723	1.0166911601836681e-9	5.176360337969607e-8	11.961261231003142	Q9BSG0	PADC1_HUMAN	PRADC1	upregulated
P01042	0.6047736585282776	0.43563171797535577	0.7739155990811994	17.336218036569683	7.144626248344999	1.0981991135990361e-9	5.54355894437257e-8	11.714422670539747	P01042	KNG1_HUMAN	KNG1	upregulated
P09871	0.5320711435997711	0.38309794627325144	0.6810443409262908	17.739576871759642	7.136734229187412	1.1336503644257464e-9	5.6740161460156425e-8	11.683089112727906	P09871	C1S_HUMAN	C1S	upregulated
Q2TB90	1.1564975877438817	0.8329840863452813	1.480011089142482	20.09309113467319	7.14539680052475	1.1823161481462797e-9	5.867864849539435e-8	11.656221684577986	Q2TB90	HKDC1_HUMAN	HKDC1	upregulated
Q14624	0.416351780325576	0.29945258245547135	0.5332509781956807	19.45583966478235	7.116834257905293	1.228192264626977e-9	6.044752929072439e-8	11.604095695673362	Q14624	ITIH4_HUMAN	ITIH4	upregulated
Q86WA8	0.5310876330342895	0.38181621849979075	0.6803590475687883	17.20832650833167	7.109310738456246	1.2659494364296878e-9	6.17908873682127e-8	11.574236648666691	Q86WA8	LONP2_HUMAN	LONP2	upregulated
P02768	0.7459263734718127	0.5361407402321895	0.9557120067114359	25.360980408812193	7.1049033824264365	1.288603407296367e-9	6.238107970075691e-8	11.55674639630292	P02768	ALBU_HUMAN	ALB	upregulated
Q8IY95	-0.6490603804107699	-0.8319822506458469	-0.46613851017569286	16.5517251418888	-7.090182660305636	1.367239511764656e-9	6.564972810148015e-8	11.498336423880886	Q8IY95	TM192_HUMAN	TMEM192	downregulated
P08319	-0.6250704581091772	-0.80148314812731	-0.4486577680910443	25.009571732489558	-7.080062776601828	1.4240566154638453e-9	6.782643847523767e-8	11.458189316727392	P08319	ADH4_HUMAN	ADH4	downregulated
Q00341	-0.2730362461549437	-0.35081271966797334	-0.19525977264191405	21.96341374847173	-7.014714720423824	1.8520842626768287e-9	8.75072772429548e-8	11.199093739138036	Q00341	VIGLN_HUMAN	HDLBP	downregulated
P11168	-0.5662962037168932	-0.7291606521436366	-0.40343175529014974	20.90584433004086	-6.947928080888687	2.422196175325385e-9	1.1353563977358511e-7	10.934581371071566	P11168	GTR2_HUMAN	SLC2A2	downregulated
Q9P2M7	-0.37883262529769773	-0.48804174334808903	-0.26962350724730644	19.173783691927632	-6.9314872814439825	2.5875195282622957e-9	1.203298451489537e-7	10.869514165446649	Q9P2M7	CING_HUMAN	CGN	downregulated
Q8N159	-0.592899538341898	-0.7644141030994784	-0.42138497358431765	18.473305504391313	-6.9074549872680295	2.849613878624412e-9	1.314829653684045e-7	10.77443772551543	Q8N159	NAGS_HUMAN	NAGS	downregulated
P58166	1.1271164221742653	0.8002046349662852	1.4540282093822454	16.368568208857067	6.891475676722338	3.257901596315988e-9	1.4800897559878633e-7	10.656856538607256	P58166	INHBE_HUMAN	INHBE	upregulated
Q96HA9	0.5930666344020088	0.4206910196892726	0.765442249114745	17.406722547602403	6.874887891068557	3.2474730936326055e-9	1.4800897559878633e-7	10.645665042804715	Q96HA9	PX11C_HUMAN	PEX11G	upregulated
O95342	-0.47521181064531004	-0.6140828341795979	-0.33634078711102217	19.91075232353305	-6.837755165450943	3.769008493360529e-9	1.6992186383043728e-7	10.49894030008587	O95342	ABCBB_HUMAN	ABCB11	downregulated
