Genes	Bin_1	Bin_2	Bin_3	Bin_4	Bin_5	Bin_6	Bin_10
AATF	0.1321650214391976	0.1245984881758665	0.13203323440152506	0.19189515610862554	0.12826276906953332	0.2045848573515068	0.0864604734537452
ABAT	0.17568243397610472	0.14380185854230093	0.1289604503734848	0.16739891060606193	0.13148174103723156	0.11202534386285623	0.14064926160195973
ABCA1	0.15579543387466024	0.15146034884677476	0.13907662049900188	0.11366350429845373	0.13355959017989064	0.1366098811107011	0.16983462119051765
ABCA2	0.13404598463713774	0.13193331358924817	0.14903877603435609	0.2011470297579971	0.1562130957327881	0.1184086890798808	0.10921311116859193
ABCA6	0.1925154161092298	0.15350001574189878	0.12427090110889899	0.13530439140811573	0.1347123953823552	0.11574795855031036	0.1439489216991911
ABCA8	0.162926012336654	0.1491541301089071	0.15479845228578748	0.12589698674541017	0.12093053671732117	0.133203931950369	0.1530899498555511
ABCB1	0.13996166319046385	0.14004072394787984	0.14683790507147754	0.13641783949957687	0.1433322026066908	0.1432534169782846	0.15015624870562658
ABCB10	0.12126162424877608	0.13365505243769063	0.1438723752412709	0.15856281052413132	0.15937405748812183	0.12240732939692037	0.16086675066308895
ABCB11	0.16835550899085353	0.16020463623362866	0.149266810439026	0.15374311986300063	0.13143288883305485	0.10442461685027536	0.13257241879016096
ABCB4	0.17339788633680808	0.14029873430738837	0.14514417179714728	0.15469338894954687	0.10466122601383289	0.1180036230314341	0.16380096956384246
ABCB5	0.1505625154087035	0.12531880375885818	0.10925707273379509	0.1554600485518764	0.10520197573929654	0.17612861622869488	0.1780709675787754
ABCB6	0.1181233418004304	0.13835043806111139	0.13604671882222388	0.1490781738231596	0.1230323643193728	0.14187035660736985	0.19349860656633208
ABCB7	0.13982857385364042	0.14992465534575664	0.13891605208916358	0.170124665899763	0.14602640040159925	0.11708546956590749	0.1380941828441696
ABCB8	0.13276966932944598	0.13914195068676596	0.13719906090420694	0.15150316313998533	0.1406471144858879	0.12508786888128093	0.17365117257242696
ABCC2	0.13889502875165632	0.14117685532719923	0.15172055954045402	0.15359722041481172	0.12986181256065021	0.1385853723490285	0.14616315105619995
ABCC3	0.131350767717241	0.1409312576641612	0.13915092784234862	0.13803289836809912	0.1562058763144801	0.1596277876271683	0.13470048446650162
ABCC4	0.13183756722336548	0.15318089688076186	0.17872964879737488	0.11690166544166138	0.11646844268119079	0.1395656666086877	0.16331611236695792
ABCC6	0.14910259137855725	0.15274501279331348	0.13816117539885417	0.13867535426392674	0.13847986017537897	0.14014196592191558	0.14269404006805383
ABCD1	0.10620642979095113	0.1438152963692367	0.14364861776091564	0.1444857938401606	0.15278651014988887	0.15431184392617686	0.15474550816267021
ABCD3	0.11570277856474248	0.13871612509548628	0.12314701618853849	0.1693343095465469	0.14377873271844235	0.12475557851965406	0.18456545936658947
ABCD4	0.1326734249245416	0.15201292430208652	0.14355549516043745	0.129136197699746	0.12974623998300566	0.1489005952250483	0.16397512270513454
ABCE1	0.13623697355037645	0.14029036796072758	0.14445016374087627	0.13822519638257627	0.14649620356358511	0.13784142028296617	0.15645967451889212
ABCF1	0.13930990436869012	0.13711758935895657	0.13884600704383146	0.14348048856432347	0.13596190610893585	0.15008763424965285	0.1551964703056097
ABCF2	0.16497138607581643	0.15026607653261076	0.15241557983778886	0.1252937791430241	0.16221030053393182	0.1481179225423112	0.09672495533451692
ABCF3	0.14611420958711216	0.1343035267053747	0.14140843817224824	0.15488426641674657	0.13150024844523647	0.14909627827764738	0.14269303239563458
ABCG8	0.14199118564113536	0.166103948196428	0.16668913817605036	0.15649038463964476	0.13609953756053064	0.07864570463299934	0.15398010115321162
ABHD10	0.1351328057692291	0.14069115122757378	0.1567933310553898	0.1577623308785866	0.14336063290336964	0.13458976050489946	0.13166998766095167
ABHD11	0.13718590007107867	0.16211053418351726	0.15881412650090018	0.1359746281135536	0.15183556348084284	0.1323997268493432	0.12167952080076427
ABHD12	0.1335603802458556	0.14689878610475976	0.14166680437486945	0.16601794034551973	0.10273588365426195	0.13088592486664827	0.17823428040808523
ABHD13	0.11891162227440973	0.1175582664886435	0.060217864108801436	0.11087487584047119	0.13438355669440313	0.3733552992604107	0.08469851533286032
ABHD14B	0.16552875372082593	0.14255139124406216	0.14720794933999354	0.13091996848170898	0.13954138570638477	0.1282000846109215	0.14605046689610313
ABHD15	0.13570992196642345	0.12586039920617895	0.1262629102560805	0.13144153756969146	0.1609896363935598	0.14364727010407316	0.17608832450399275
ABHD16A	0.13337511467417637	0.1566369270514254	0.1511327436763416	0.15192290979095968	0.14116976465380265	0.13103032383910743	0.1347322163141869
ABHD2	0.1188635182603211	0.11759439955609471	0.12406289230521185	0.09406154896952346	0.1485069523475299	0.1305337034868418	0.26637698507447727
ABHD3	0.13541718198000327	0.13314996341170493	0.15168019803013066	0.13180828357789862	0.1262770802815497	0.0855260999549821	0.2361411927637307
ABHD4	0.08974823131306725	0.12526842955988232	0.1644463709209729	0.12330267838974891	0.14742534235336627	0.17059762495552863	0.1792113225074338
ABHD5	0.09251671106692264	0.1222001236848054	0.13399553056226263	0.1271842316190534	0.1584581600347752	0.1889171699468468	0.1767280730853339
ABHD6	0.12294451203425599	0.1430023879797407	0.14235287418856943	0.16865622052532028	0.11227154681123036	0.133762953498307	0.17700950496257628
ABI1	0.14089665285367195	0.13058968432939863	0.13924959219287003	0.11952527774962325	0.14929596200682513	0.16195935087873736	0.15848347998887363
ABI3	0.16576016788251652	0.14370637471816486	0.14693245731029433	0.14087547299144218	0.1302213975781546	0.14807638894474584	0.12442774057468164
ABLIM1	0.1505294476000902	0.14871097954286697	0.14291875668144893	0.13095526425386309	0.11739853573259679	0.16773539935650852	0.14175161683262552
ABLIM3	0.15334712329457603	0.1506950122054736	0.14766634211496363	0.12838288445069593	0.11440398106429997	0.15816013705564225	0.1473445198143486
ABRAXAS2	0.16142148521229974	0.15603014690433817	0.1291580598725847	0.11857679782509034	0.17168156333605247	0.14125510435521993	0.12187684249441463
ACAA1	0.13317088483581435	0.154530063630175	0.13812672143725682	0.15113744921052755	0.15649860961966278	0.11703759629536221	0.14949867497120134
ACAA2	0.16021921076755574	0.15198657210952418	0.1449060455925749	0.14693610698208398	0.13163240859411318	0.1306540272409257	0.13366562871322235
ACACA	0.15168065798588168	0.12682129016616558	0.13882741096454582	0.16503334487317245	0.12746939542883137	0.12510389208190423	0.16506400849949882
ACACB	0.1539097805070587	0.1505279814938372	0.14106837457399957	0.15062115228716538	0.12051033522210246	0.1367388823600187	0.146623493555818
ACAD10	0.1474671576991057	0.14728199516205379	0.15259415113565997	0.14780043706843152	0.1527048690958099	0.13031620414556627	0.12183518569337286
ACAD11	0.12538251836152742	0.15384543983670107	0.12523271167355188	0.17030821212414562	0.13697676142831994	0.11187283237478463	0.17638152420096945
ACAD8	0.15381503684903405	0.16557739070222227	0.14076234695185968	0.12208903044334186	0.162591585675372	0.13492706495789644	0.1202375444202737
ACAD9	0.15136466367984158	0.15701633367161352	0.15211586139832875	0.15603464286444035	0.144337725692257	0.13113234236457083	0.10799843032894794
ACADL	0.15003485097006614	0.17734061702521106	0.16374345121470085	0.12163817472303215	0.15725303046766692	0.14634922626787633	0.08364064933144655
ACADM	0.16054119364963604	0.1555319092679906	0.1463449144245356	0.14742591674312097	0.14621594896026166	0.12062891156046616	0.12331120539398902
ACADS	0.14020518725846665	0.1444249789224687	0.15251218617263573	0.13167374697340944	0.14951721777453036	0.1418743094889039	0.13979237340958528
ACADSB	0.19939656534372263	0.12917543869848305	0.1513564361367501	0.14999472047721704	0.12347871056967864	0.1116016274103291	0.13499650136381935
ACADVL	0.13649237729632532	0.14125922882498265	0.1410606724652677	0.15567583329747595	0.1499018630093852	0.1293608998341395	0.14624912527242373
ACAP2	0.13955118700237842	0.1392230260621409	0.12800039889186463	0.11509515905214743	0.167476159077842	0.18443992736659556	0.1262141425470311
ACAT1	0.1604202740263246	0.157174827370799	0.13858655091125108	0.13290613810299773	0.13255908472337818	0.14239990642054395	0.1359532184447055
ACAT2	0.1960418139461383	0.1398956920900315	0.14331779966121239	0.13866622702175085	0.14826899415359715	0.11202144248434678	0.12178803064292305
ACBD3	0.13849653321769573	0.13824009837697632	0.13726806777078915	0.1420282290051648	0.16133447107955634	0.15770853677816535	0.12492406377165231
ACBD4	0.15141614260168074	0.16954887880329714	0.14797131197109636	0.13452745962174925	0.13099852506942253	0.13386752177751007	0.13167016015524394
ACBD5	0.12806159266258121	0.15191618852366207	0.13893654491555163	0.14120447906057257	0.1355667023222264	0.13830321168163706	0.16601128083376904
ACBD6	0.14643695873210072	0.15460422138530802	0.18613895770904898	0.1819218161502931	0.11555328984047987	0.15524861815848273	0.06009613802428659
ACE	0.17572634398688594	0.18490583336887734	0.17501034611591504	0.109497824631875	0.05908809047453756	0.14359309256740568	0.15217846885450337
ACIN1	0.11435137869372412	0.13317904095533792	0.16227223557022663	0.15993358459356052	0.15954450138000684	0.14363439618917848	0.12708486261796556
ACLY	0.13858163446908578	0.13450740371585942	0.14120717085999068	0.14177227075534832	0.15492621500418421	0.1458383863752991	0.14316691882023258
ACMSD	0.20782136638795126	0.19007944510278532	0.15047440343499943	0.09662622962874391	0.14564551378478044	0.1292073363760602	0.08014570528467946
ACO1	0.1826930482512041	0.14420968489527444	0.14257147271188608	0.14544344386562652	0.13162185657256897	0.12115129903226927	0.1323091946711705
ACO2	0.13944674987739558	0.14587554278327747	0.1501105869277167	0.1528593107091509	0.14686556926125033	0.13413118974836782	0.1307110506928412
ACOT1	0.13622983316890358	0.14706994704513074	0.16454855679079491	0.13463688850753444	0.16436081353567636	0.13385813603133428	0.11929582492062574
ACOT11	0.12516264600005356	0.13454067001769082	0.16574915006201038	0.07235822459390563	0.18557385486291603	0.16623543715908848	0.15038001730433512
ACOT12	0.16370763752757053	0.1559888801898117	0.12862172966267896	0.14049350468941418	0.1425338147935373	0.14304997995002433	0.12560445318696303
ACOT13	0.14652532935328175	0.1469852571390942	0.14711726698188435	0.15372829695135415	0.1358941487033799	0.13129410605124164	0.13845559481976394
ACOT2	0.13443918572149188	0.14620156755165287	0.16486251288754514	0.13796372838303675	0.13971509313377664	0.14672445464564338	0.13009345767685332
ACOT4	0.11859510483547586	0.13600218461307456	0.14616618122037103	0.12317508815165283	0.14425272405253645	0.11956864046438585	0.2122400766625034
ACOT7	0.13875809860453978	0.13150857405352334	0.14992755582949066	0.1361919019975095	0.140031224987961	0.10901016988190856	0.19457247464506713
ACOT8	0.10032506787618808	0.13720044239421458	0.13855306780360543	0.16203782957403357	0.1588731915395068	0.12501229434720687	0.1779981064652447
ACOT9	0.1266359908164774	0.1440394451275254	0.14351875536305744	0.15310058557499168	0.14678910597884245	0.1440154217513394	0.14190069538776615
ACOX1	0.11665561233887736	0.13297007061031543	0.11095025010549872	0.1970208960438949	0.14208726512553937	0.10233446739340081	0.19798143838247342
ACOX2	0.12298196491124877	0.14981000516138857	0.12620248831455305	0.1632597119484415	0.14211068129795537	0.11030719159849495	0.18532795676791777
ACOX3	0.11378790880649596	0.14443883775445102	0.1394296108082378	0.14299414745891567	0.14578273264451888	0.12872469488389182	0.18484206764348882
ACP1	0.1594635698006274	0.14915635553649093	0.1350164755390233	0.1409715201185135	0.12998347121653606	0.15669454730896043	0.12871406047984846
ACP2	0.11736848868812344	0.12895113609383793	0.15474953929640223	0.15819981310394968	0.11572189444642816	0.15000595946253362	0.17500316890872497
ACP6	0.12415370076077574	0.13806300878830535	0.11859685064954432	0.14461461339661139	0.17252391151731428	0.1698437443382886	0.13220417054916028
ACSF2	0.11844916455264083	0.1381913776419027	0.1359426950176889	0.12134015622096198	0.14202647805989752	0.1524716584527603	0.1915784700541478
ACSF3	0.13153380328079986	0.14830355413812052	0.1361409036609073	0.1744541082154911	0.13415405424819685	0.12415454778329034	0.15125902867319396
ACSL1	0.14686898804280052	0.14492160398086548	0.14028209123990307	0.163499536599561	0.13746801287886581	0.1248613227955621	0.14209844446244208
ACSL3	0.13613947422965833	0.14395444531061843	0.14164032821959996	0.13635262634453565	0.14307796490980035	0.15840889095231883	0.14042627003346841
ACSL4	0.1273231140137012	0.13363422617711582	0.1463142731921672	0.12931349150909205	0.15348085798918876	0.13688678587647207	0.1730472512422629
ACSL5	0.15625754035587555	0.1476454020264798	0.12364661660834908	0.13777630144208527	0.12619127362647203	0.11203381202125941	0.19644905391947873
ACSL6	0.1485365420010649	0.17823063234647393	0.14521940410540587	0.18381551923912368	0.13407213905060428	0.10609650786707599	0.10402925539025136
ACSM2A	0.14650869948136885	0.16695441211664203	0.17092223688564076	0.13679466843189206	0.12772609404496169	0.1424988710032207	0.10859501803627393
ACSM2B	0.13652085662677818	0.15749417527826481	0.15594153341591613	0.14685884417913345	0.1341508426267661	0.14083507175040233	0.128198676122739
ACSM3	0.1628689348311627	0.15118299055129333	0.13094466516391384	0.14937913037353692	0.14212761821159167	0.12649363375839162	0.13700302711011
ACSM5	0.15359940768639327	0.14327539829064576	0.12790979331383148	0.16234266613841553	0.12358493306392365	0.12167620937135981	0.1676115921354305
ACSS1	0.11036900686738618	0.14382637139692206	0.16540916428655156	0.11821577055854487	0.14003120091601734	0.14999672960951235	0.17215175636506555
ACSS2	0.15986434241289366	0.11647594526361799	0.13269044252818166	0.1897507809893093	0.11388344000131445	0.10036650999719095	0.18696853880749198
ACSS3	0.11977156680137135	0.13229511852708065	0.12750825066615099	0.17845757917975685	0.14489765297287083	0.12090596321835038	0.17616386863441894
ACTA1	0.1516340177202076	0.1357296303008382	0.14571427545008792	0.140609448951994	0.13994475793906272	0.15054299684608158	0.135824872791728
ACTB;ACTG1	0.15093837780804523	0.1448105058313354	0.14122569030456508	0.1171165134484828	0.1539600586550409	0.1706083300017329	0.12134052395079778
ACTBL2	0.1430134636583419	0.11437427155474487	0.1259384317348642	0.1591828815907967	0.15662974117182638	0.15800070885211692	0.1428605014373091
ACTG2	0.14144874729552223	0.1315653356475914	0.13202270377105416	0.14413762841683242	0.1640090706157636	0.16868411712195033	0.11813239713128582
ACTL6A	0.13772360726521582	0.13784884876425332	0.14630396206218485	0.11471957808183746	0.16944988747663253	0.15351205136360252	0.1404420649862735
ACTN1	0.1544245263663952	0.14792221102887357	0.13772738513988309	0.13627569742989543	0.1428922267436643	0.15841008701384443	0.12234786627744394
ACTN2	0.15572452723972674	0.15237007563331997	0.12730815820194652	0.08934543473335438	0.18993691628718878	0.1466378966656916	0.13867699123877206
ACTN3	0.1546997404998614	0.15676344223676375	0.14367680079777445	0.17801359384628035	0.14720238074416267	0.07420147308163011	0.14544256879352732
ACTN4	0.15606658564729456	0.14722573665608144	0.1375256275879161	0.13637069685702724	0.14227378287968429	0.15163316081999012	0.1289044095520062
ACTR10	0.13931004195186422	0.13544111934864528	0.1360133022215161	0.1346882332174366	0.1235620019553019	0.17753978429477318	0.15344551701046272
ACTR1A	0.15769906372355755	0.14004837687534782	0.14473397428894602	0.15066110420185733	0.138691482671939	0.13065050572958667	0.1375154925087656
ACTR1B	0.15379583501576202	0.1434001414905299	0.13306786197517528	0.16914359235428106	0.1416445231184208	0.1313631077875322	0.12758493825829875
ACTR2	0.15836796403846626	0.1430259742315845	0.1446722067552905	0.11760187900066289	0.1417786783156292	0.17730584692831122	0.11724745073005541
ACTR3	0.14605226064452684	0.13836336126644283	0.13541932430356723	0.14023271445073204	0.14910296798393458	0.16297057544545565	0.12785879590534083
ACTR3B	0.10032025452451365	0.0950192148093256	0.10906906692617736	0.0878457829279947	0.118143436299033	0.21230593180264126	0.27729631271031435
ACY1	0.17159587826037834	0.1524046219505882	0.14536553975505193	0.14539097276606858	0.13689722172601396	0.13626187099644424	0.1120838945454548
ACY3	0.1885374551270046	0.14146624938153096	0.16122921984630156	0.12734585014786945	0.1300592371699527	0.08650985021148505	0.16485213811585575
ACYP1	0.12634835100599753	0.12698339054624488	0.11502653475331209	0.14296664696394956	0.12428718936219962	0.18867794532629553	0.17570994204200088
ACYP2	0.15027220770909713	0.15474028910334509	0.14365711920904448	0.1531623796917883	0.14157933489388977	0.08873005939622493	0.1678586099966104
ADA	0.13452462867597928	0.13744631004768965	0.17053893409232898	0.12676204732368815	0.1461555004438164	0.13412322359117712	0.15044935582532049
ADA2	0.14763305961277345	0.1259303164259228	0.144402983633192	0.16590601981146894	0.14261402594155348	0.14354623545855771	0.12996735911653148
ADAM10	0.12300327008127	0.13352893011151318	0.13137164606694962	0.11176415108478167	0.13643516695000002	0.18077884647038595	0.18311798923509956
ADAMTSL4	0.10341207772018568	0.1429849734119185	0.11297992120887325	0.2320719507828049	0.12430877862688512	0.16245436638191402	0.12178793186741849
ADAR	0.12280739413163837	0.13054256321729724	0.14808531269729747	0.17462097662025533	0.14901592148889692	0.1143527043950945	0.16057512744952024
ADCK1	0.11254318875979802	0.12317210710475864	0.15014996484164683	0.1405162533827096	0.16641247526350808	0.1361769541832352	0.17102905646434358
ADCK5	0.15463860211166408	0.1839371432830718	0.14036834814250962	0.1529897563814786	0.14459515615791577	0.09309040148143462	0.13038059244192549
ADD1	0.1437872564461458	0.1410648057964235	0.13058409730552342	0.12519553943085	0.18374999701627723	0.16373170728229222	0.1118865967224879
ADD3	0.16142665009234464	0.13148982825549282	0.15240036285915035	0.1403553501254346	0.17275037188011436	0.1216702838676961	0.11990715291976717
ADGRE5	0.13427463635552464	0.13049798041299895	0.12619542019632868	0.1840112093198662	0.1890200323523099	0.1503588776909691	0.08564184367200246
ADGRL2	0.1441192047634216	0.12893255299893516	0.1634267634225845	0.11477340597145129	0.1074828909770476	0.25023612631346204	0.09102905555309777
ADH1A	0.150324683602378	0.12530563016444157	0.14311445642522092	0.1314470705312465	0.13913664558713842	0.1274602911467529	0.18321122254282177
ADH1B	0.15394297445365102	0.1393181258881998	0.1374814089751969	0.14050091916800062	0.1346249706298716	0.1289133826089223	0.1652182182761578
ADH1C	0.14845862289085104	0.14315672479779745	0.13043474507457456	0.16514587688700677	0.1589579213913828	0.12642581928504326	0.1274202896733442
ADH4	0.16313722923547316	0.11695789604866051	0.10935185245092416	0.17514113724440325	0.1402123454867115	0.1022057785809289	0.19299376095289852
ADH5	0.15780820391558772	0.13461966145607482	0.14327541446210032	0.13558388212226102	0.1465450708186207	0.11807387323096183	0.16409389399439356
ADH6	0.16502742750285804	0.12537909817959306	0.1299180053067063	0.11792761148835927	0.12966317230310667	0.11448055636782292	0.2176041288515538
ADHFE1	0.15403895268022053	0.1487903577554041	0.1412125080169467	0.15574204499826497	0.14216000985626023	0.11824757985449912	0.1398085468384043
ADI1	0.21762981074206902	0.14635552032910634	0.1328370356901043	0.1442576981718797	0.10436597397270306	0.10088781452624143	0.15366614656789618
ADIRF	0.10765616566380692	0.13122216498524955	0.13412137019445564	0.12320763778289807	0.193630777317184	0.13459451947201634	0.17556736458438954
ADK	0.16242778868770963	0.1404900016746245	0.1429180860345856	0.16181723496881872	0.1387794114678614	0.12556929206175962	0.1279981851046406
ADNP	0.13208569923924157	0.14109652062698547	0.13468369819043466	0.15954195535537627	0.19432678093957306	0.089755558385890985	0.14850978726249803
ADPGK	0.12822745820655063	0.13627737178280178	0.13285098515810673	0.1950269993359378	0.10968570739424975	0.1508022796394176	0.14712919848293562
ADPRH	0.12165932061992113	0.11630819325183889	0.12314737183186049	0.14459584754821134	0.11777454903737597	0.1993756001617358	0.1771391175490563
ADPRS	0.14410739724830227	0.141591133270934	0.14406303443632248	0.1532113084250934	0.13821996955480614	0.1298656784518503	0.14894147861269144
ADRM1	0.12661989770181392	0.16228476869008115	0.16592093059652704	0.14835965158214026	0.1502554752030875	0.11242666893408086	0.1341326072922694
ADSL	0.16659129421022664	0.14507626623905764	0.15183054663071144	0.14288059428338598	0.15268443322338937	0.12042934775178954	0.12050751766143943
ADSS1	0.162398785298129	0.12503980279175597	0.15587415332015894	0.13208014235111593	0.1241017915733896	0.11979510790012979	0.1807102167653208
ADSS2	0.15292184989208288	0.1446887694983407	0.15312071687568404	0.13934046978331802	0.13984091715483266	0.13855271189037605	0.13153456490536572
AEBP1	0.13001227720935812	0.13328690816511177	0.1427732298422712	0.12443572609981046	0.1564098831289079	0.13907430806922721	0.1740076674853132
AFDN	0.15475733799034944	0.14132122822421236	0.14335501923175042	0.13897833141440186	0.1428891825456356	0.1414218562985828	0.13727704429506743
AFG1L	0.12671200827014498	0.13628897899890788	0.13509690067612456	0.16776126884476378	0.15740062993760648	0.11753723338078684	0.15920297989166546
AFG3L2	0.1438387140346619	0.14649031074527244	0.14169889430360944	0.15465231030135743	0.14349626116136077	0.1135455585180079	0.1562779509357302
AFM	0.12744337749049434	0.13836973154440713	0.10722095672415709	0.15531665834530353	0.12504272347239329	0.14851037317714766	0.19809617924609693
AFMID	0.16074096018470185	0.13768080496951215	0.14326816265296868	0.13752691373024956	0.13524686580355355	0.14922280969783372	0.13631348296118057
AFTPH	0.10184654099914203	0.1311034863954528	0.09138912470502286	0.15701729487270552	0.19290960754716266	0.24028697782020936	0.0854469676603048
AGA	0.1021185065282113	0.12105388898522995	0.13379937837070086	0.12897976524057558	0.13747812436168202	0.1996300798276948	0.17694025668590552
AGAP3	0.1521157621578849	0.15889860299778313	0.15148002827529888	0.12397663963163938	0.10212290123364953	0.18308451848118423	0.12832154722255995
AGFG1	0.14583639188004185	0.14034353454492307	0.17248666801314394	0.1323056784472916	0.1294036567147857	0.13364779801424997	0.1459762723855638
AGFG2	0.17564636811265472	0.14570472025441075	0.16026877521564198	0.10304454911085581	0.1538143394989186	0.13085229208047655	0.13066895572704157
AGK	0.13791485535985662	0.1485960952335803	0.13281639619743538	0.14674683124117616	0.13534531475683378	0.15704146613774325	0.14153904107337448
AGL	0.16985999152686887	0.15806881455541694	0.1408313723801248	0.14987397796859023	0.11684777365567796	0.11006647384454034	0.15445159606878092
AGMAT	0.12324875064726468	0.14487130902818912	0.16998900863868396	0.14791665214895844	0.14075907087077486	0.11940041061164444	0.15381479805448448
AGMO	0.15499867843525428	0.16006251227614796	0.1573772191610932	0.13608437466632137	0.11123791402827163	0.11043979129768013	0.16979951013523145
AGO1	0.1450477592546338	0.1435971913770547	0.15109905723587205	0.12487982883713034	0.14775584055602203	0.17653137746884215	0.11108894527044498
AGO2	0.13398895323844096	0.13362709844396306	0.15017142417037233	0.12493215561166124	0.15487412281287527	0.15138986272042484	0.15101638300226225
AGPAT1	0.13215419337715578	0.14843270276815537	0.14136829936949666	0.1570518840520018	0.1270873718606657	0.14785904566174998	0.14604650291077464
AGPAT2	0.1605093844385832	0.1520773140765102	0.13874861315803752	0.13404727397800972	0.1240765853154328	0.1397312819248413	0.15080954710858538
AGPAT3	0.14135256396486154	0.14660508549538098	0.1536280926732708	0.16822447783727695	0.1278633526061974	0.1183928285505523	0.14393359887246
AGPAT5	0.14405136059804607	0.16220755962717784	0.1623588184557006	0.1749042646661417	0.14522346147366974	0.1030228641665884	0.1082316710126756
AGPS	0.11248716613942965	0.15947519568587012	0.14555238049467692	0.154635057889632	0.151564753440695	0.1414001230694414	0.13488532328025493
AGRN	0.1258896520507896	0.11077131235895078	0.11013891301895742	0.11903793403713354	0.18112883175205674	0.17802930789412766	0.17500404888798418
AGT	0.09352771220999066	0.1608400049950385	0.16137206045522332	0.172241527869526	0.12558732222061544	0.14248012071414567	0.14395125153546035
AGXT	0.13862129867922787	0.153447101085936	0.12574393622228386	0.1608844620159465	0.14410507010928422	0.10679841933068235	0.17039971255663916
AGXT2	0.16246160355013642	0.15303765735210342	0.14587360242643582	0.15561464272415215	0.1278729173948419	0.12252355126145272	0.13261602529087752
AHCTF1	0.11866191384331724	0.137674573998655	0.1469841853780259	0.1825527984591439	0.14006589651877088	0.11560835962855538	0.15845227217353172
AHCY	0.17685365749342125	0.1462214476458532	0.1371291889750554	0.13672726248643075	0.13365114305753478	0.13616829349046292	0.13324900685124175
AHCYL1	0.16008346104584353	0.1386304623127099	0.1487920613417433	0.14410041672413004	0.13432164327658463	0.15008305874230285	0.12398889655668581
AHNAK	0.14649493520862325	0.141591364785706	0.12834011703158768	0.1481685319037518	0.15984759173956145	0.1570461436403632	0.11851131569040665
AHNAK2	0.14176738635673775	0.14918479435446272	0.16083597552173143	0.11152653376013306	0.15639621564675696	0.17385735159095125	0.10643174276922679
AHR	0.1518224440079681	0.14811049967087528	0.14704908117367854	0.12638617781699055	0.13580740895623084	0.12781716456266362	0.163007223811593
AHSA1	0.15131223256170637	0.14584824075654115	0.13695696918501485	0.15143596782064697	0.13905074244817367	0.14662056487027897	0.12877528235763808
AHSG	0.11234853991231619	0.13488122570864383	0.14308094680522593	0.18496734929183212	0.1256106586818076	0.1439293885151645	0.15518189108500977
AHSP	0.1239683422313924	0.13549243440140127	0.1477933537674823	0.10399810083421704	0.16570969854436188	0.21848157909424315	0.10455649112690193
AIDA	0.14178605281006143	0.13128414050666515	0.14498662195279022	0.13958521983521174	0.12573823278540835	0.1422524349579415	0.17436729715192167
AIF1	0.1604256988540627	0.14388396085326102	0.13457406196102475	0.15400965320904908	0.12143741371412596	0.15359243713250792	0.13207677427596856
AIFM1	0.12864621498602005	0.1363565418489443	0.13926993014570072	0.1674838581789056	0.1394254053958033	0.12263828681187329	0.16617976263275275
AIFM2	0.10113847254924672	0.1476622006195514	0.1514477592029789	0.16473809706404324	0.15917077807142166	0.13018486576245242	0.14565782673030564
AIMP1	0.15818214425723745	0.15163543852955555	0.15307433642188853	0.13199509794723516	0.14313049381785467	0.126096026813122	0.1358864622131066
AIMP2	0.15238766107831783	0.13953969044761533	0.14545651855214792	0.14072685348799444	0.14038411634396145	0.1229116435365824	0.15859351655338066
