Protein.Group	low_moderate_fc	low_moderate_p	low_moderate_B	moderate_high_fc	moderate_high_p	moderate_high_B	diff_fc	diff_B	protein	Protein.Names	Genes	annotate	significant
Q14894	0.28197005547830784	0.044631249941357566	-1.5782167851237583	0.21739919994690074	0.022067607889140067	-1.9067482458262912	0.0645708555314071	0.3285314607025329	Q14894	CRYM_HUMAN	CRYM	FALSE	TRUE
P06865	0.15992514296609123	0.034422399914757186	-1.1879000216705604	0.05953054941721627	0.5110191705066208	-6.097619510054953	0.10039459354887495	4.909719488384392	P06865	HEXA_HUMAN	HEXA	FALSE	TRUE
Q9BY49	0.2998139963217001	0.009505099283132793	0.5665871800194502	0.19934277151943938	0.07550733862028167	-3.4824626244810553	0.1004712248022607	4.0490498045005054	Q9BY49	PECR_HUMAN	PECR	FALSE	TRUE
O60683	0.4557868562657463	0.049885778268501865	-1.579002155369679	0.35191570347538914	0.02486053302913449	-1.9585948067291072	0.10387115279035714	0.3795926513594283	O60683	PEX10_HUMAN	PEX10	FALSE	TRUE
O14734	0.45886115401994904	4.5215564888630123e-4	4.665993986395038	0.3521367231930633	3.7123228188951264e-4	3.308530232674846	0.10672443082688576	1.3574637537201921	O14734	ACOT8_HUMAN	ACOT8	FALSE	TRUE
Q9HBH1	0.33343675982214344	0.0014641026034938791	3.0507532846891783	0.21911944846385462	0.1913410607286967	-4.728213379036305	0.11431731135828882	7.778966663725483	Q9HBH1	DEFM_HUMAN	PDF	TRUE	TRUE
P49895	0.33097362120947205	0.04716798694677336	-1.6681202221973015	0.21604007366968347	0.04742501443252346	-2.8767647523058835	0.11493354753978857	1.208644530108582	P49895	IOD1_HUMAN	DIO1	FALSE	TRUE
P51812	0.19563501141668568	0.026201114061343806	-0.8210562125586351	0.07260435932899766	0.4751805396712645	-5.98692071819236	0.12303065208768803	5.165864505633725	P51812	KS6A3_HUMAN	RPS6KA3	TRUE	TRUE
Q99489	0.5549969569583137	2.5050287371851615e-4	5.417721938245857	0.42393776185725884	5.035874145489427e-4	2.868189458954266	0.1310591951010549	2.5495324792915914	Q99489	OXDD_HUMAN	DDO	FALSE	TRUE
Q96IV0	0.2686296500388564	0.04633539457595572	-1.6450066525589717	0.13561957276325115	0.35507856915980585	-5.61033783473202	0.13301007727560527	3.965331182173048	Q96IV0	NGLY1_HUMAN	NGLY1	FALSE	TRUE
Q14534	0.427819741649355	0.020533828643148296	-0.3490023983803674	0.2860593311777753	0.1668487186794857	-4.426433003936589	0.14176041047157967	4.077430605556222	Q14534	ERG1_HUMAN	SQLE	FALSE	TRUE
Q00653	0.2649868969912565	0.045135066757394746	-1.5948029413653604	0.1069378454202255	0.4835975014884629	-6.012670766444521	0.158049051571031	4.417867825079161	Q00653	NFKB2_HUMAN	NFKB2	FALSE	TRUE
Q16881	0.20210890781092386	0.04401859840959006	-1.5532456605329736	0.03204262214743649	0.8465606793047655	-6.750281786000208	0.17006628566348736	5.197036125467235	Q16881	TRXR1_HUMAN	TXNRD1	TRUE	TRUE
O95834	0.218928820829016	0.014437237831385097	-0.017051063331994243	0.04319992369534791	0.7192207627310537	-6.57497314641329	0.17572889713366807	6.557922083081296	O95834	EMAL2_HUMAN	EML2	TRUE	TRUE
P17655	0.3375240434275653	0.006660903939376721	1.1047331999100711	0.1595169992044496	0.16827296832714794	-4.544415702829885	0.17800704422311572	5.649148902739956	P17655	CAN2_HUMAN	CAPN2	TRUE	TRUE
P46934	0.3084372128398544	0.036012526039199036	-1.2559353283048793	0.12181212241068946	0.37785173255869103	-5.687839734702291	0.18662509042916497	4.431904406397412	P46934	NEDD4_HUMAN	NEDD4	FALSE	TRUE
Q9P0Z9	0.4828205581623462	1.5889411543829093e-4	5.985835555021462	0.2913611034331394	0.00476732040875826	0.022226887900270498	0.19145945472920678	5.963608667121192	Q9P0Z9	SOX_HUMAN	PIPOX	TRUE	TRUE
O76003	0.1720638298843223	0.02999486228068163	-0.998519215157045	-0.02467505092102646	0.824846928769823	-6.7278109061887585	0.19673888080534876	5.7292916910317135	O76003	GLRX3_HUMAN	GLRX3	TRUE	TRUE
P14920	0.3161673003655082	0.021275940932790137	-0.5450351960555349	0.11711788113906538	0.45430900744012714	-5.921167415247025	0.19904941922644284	5.37613221919149	P14920	OXDA_HUMAN	DAO	TRUE	TRUE
P07339	0.2102725549032646	0.03488777513648765	-1.2056673033058	0.010880553025091366	0.9391170096834469	-6.830795668727144	0.19939200187817324	5.625128365421344	P07339	CATD_HUMAN	CTSD	TRUE	TRUE
P37268	0.2490858830087631	0.011762722551400671	0.2405013009510748	0.04190304911468921	0.7813008067486926	-6.668228685951705	0.2071828338940739	6.90872998690278	P37268	FDFT_HUMAN	FDFT1	TRUE	TRUE
Q14764	0.5238661353941456	1.1096592148114195e-5	9.092749527228804	0.3074344119501565	1.074205830929994e-4	4.797348309230712	0.2164317234439891	4.2954012179980925	Q14764	MVP_HUMAN	MVP	FALSE	TRUE
Q02127	0.25416019940413775	0.026908443375016983	-0.8636786955869198	0.03035335256736288	0.8574842427456302	-6.763752699018069	0.22380684683677488	5.90007400343115	Q02127	PYRD_HUMAN	DHODH	TRUE	TRUE
O15533	0.4375118795879673	0.03906676869181072	-1.125739464760481	0.20949627785782235	0.29033065773877764	-5.027778425445312	0.22801560173014493	3.9020389606848314	O15533	TPSN_HUMAN	TAPBP	FALSE	TRUE
Q9Y6I8	0.4141829158903658	0.007382873589766592	0.9157753054948667	0.18233747254400112	0.16992344529515027	-4.560035773205896	0.2318454433463647	5.475811078700763	Q9Y6I8	PXMP4_HUMAN	PXMP4	TRUE	TRUE
Q9NUI1	0.48172891727261197	5.5618501654642836e-5	7.295288342481423	0.24840909142974515	0.01050140739658094	-0.9656138505200946	0.2333198258428668	8.260902193001517	Q9NUI1	DECR2_HUMAN	DECR2	TRUE	TRUE
Q9BRQ8	0.26272490984013036	0.00707935639796119	1.0121378267250183	0.014053239382344405	0.9216329067881113	-6.819820686340264	0.24867167045778596	7.831958513065282	Q9BRQ8	FSP1_HUMAN	AIFM2	TRUE	TRUE
Q8WYK0	0.25954551252287705	0.04716798694677336	-1.6700967325985863	0.009416250820555902	0.9507793983887654	-6.834964795393358	0.25012926170232114	5.164868062794771	Q8WYK0	ACO12_HUMAN	ACOT12	TRUE	TRUE
A0AVT1	0.16569646222668755	0.036841170964132273	-1.2822245399973893	-0.08559594041778143	0.2498815888088693	-5.079870191750594	0.25129240264446895	3.7976456517532045	A0AVT1	UBA6_HUMAN	UBA6	FALSE	TRUE
Q99460	0.167695346187149	0.018049731139475573	-0.2946243297633204	-0.0855794574805432	0.27679908538667575	-5.2303692842588365	0.25327480366769223	4.935744954495516	Q99460	PSMD1_HUMAN	PSMD1	FALSE	TRUE
Q13501	0.7525924081456092	0.011953871803489485	0.21698778578329758	0.4502044388704662	0.006093782796343208	-0.2744816423977001	0.30238796927514305	0.4914694281809977	Q13501	SQSTM_HUMAN	SQSTM1	FALSE	TRUE
P18440	0.5509178805295614	0.00579908857943151	1.3654759397772116	0.23236795182614667	0.28819009443548455	-5.174123311508257	0.3185499287034147	6.539599251285469	P18440	ARY1_HUMAN	NAT1	TRUE	TRUE
P58166	0.7412961857228079	0.0034306392589332426	2.088993059415955	0.41177466872414414	0.028016538453364735	-2.2215118245764005	0.3295215169986637	4.310504883992356	P58166	INHBE_HUMAN	INHBE	FALSE	TRUE
Q9UHF1	0.9066804418071699	7.908871799739022e-5	6.8672255980686785	0.5524910142242321	0.006629545771010598	-0.3826603852546686	0.3541894275829378	7.249885983323347	Q9UHF1	EGFL7_HUMAN	EGFL7	TRUE	TRUE
O60664	0.27002203467568303	0.0062469222000504044	1.1922413771203342	-0.08711855973821951	0.44256385231614975	-5.887464246688278	0.35714059441390256	7.0797056238086125	O60664	PLIN3_HUMAN	PLIN3	TRUE	TRUE
P53396	0.2514755518569224	0.0011677236540923847	3.3966059304564533	-0.1362659933492389	0.16225070233763553	-4.4893684343528655	0.3877415452061613	7.885974364809319	P53396	ACLY_HUMAN	ACLY	TRUE	TRUE
P09211	0.4331447339288783	0.0422184214188252	-1.4727799371445256	0.04135019188200353	0.9155854347250645	-6.816005051108726	0.3917945420468748	5.3432251139642	P09211	GSTP1_HUMAN	GSTP1	TRUE	TRUE
O94901	0.38726298795332614	0.021266518198058252	-0.5210575986352755	-0.016950568866238695	0.9462250381532502	-6.833787901333779	0.40421355681956483	6.312730302698504	O94901	SUN1_HUMAN	SUN1	TRUE	TRUE
O96011	0.4782083261512072	5.9299185717541e-4	4.279036154266266	0.06755329680911344	0.7339511151935088	-6.594641168860566	0.41065502934209375	10.873677323126831	O96011	PX11B_HUMAN	PEX11B	TRUE	TRUE
Q13103	0.7446080290740716	0.034152459696415116	-0.9968269515006725	0.3194106499057977	0.267687841902415	-5.081370960933628	0.42519737916827394	4.084544009432956	Q13103	SPP24_HUMAN	SPP2	FALSE	TRUE
Q15154	0.48965630194403276	0.0178961011872794	-0.10916786150386137	0.06310184163915061	0.9112147681473779	-6.4361447370942475	0.42655446030488214	6.326976875590386	Q15154	PCM1_HUMAN	PCM1	TRUE	TRUE
P49257	0.9672246977857272	4.13474123415081e-9	18.084934455909043	0.5390960416924041	9.149631777371786e-8	12.644056123365111	0.42812865609332307	5.440878332543932	P49257	LMAN1_HUMAN	LMAN1	TRUE	TRUE
P31213	0.7271302195311651	0.009200523725116868	0.633281756672142	0.29383185634883685	0.0638101086790222	-3.2196724688075538	0.43329836318232823	3.852954225479696	P31213	S5A2_HUMAN	SRD5A2	FALSE	TRUE
Q8TF05	0.34052271969059433	0.026201114061343806	-0.7827647844490899	-0.09508580864519463	0.7905732789298684	-6.6114576624242485	0.43560852833578895	5.828692877975159	Q8TF05	PP4R1_HUMAN	PPP4R1	TRUE	TRUE
Q03252	0.3567395351790668	0.034152459696415116	-1.1738512648569221	-0.08799549292441775	0.44256385231614975	-5.887244803589455	0.44473502810348453	4.713393538732533	Q03252	LMNB2_HUMAN	LMNB2	FALSE	TRUE
P29401	0.25973693773036893	0.015545273823901825	-0.11727281949136614	-0.18828938027260014	0.05223406555816209	-3.004022195176121	0.4480263180029691	2.886749375684755	P29401	TKT_HUMAN	TKT	FALSE	TRUE
Q14397	0.29068181452752945	0.044631249941357566	-1.588433039573598	-0.1820411315259813	0.0802830744498976	-3.5732125631149723	0.47272294605351073	1.9847795235413743	Q14397	GCKR_HUMAN	GCKR	FALSE	TRUE
Q8NI22	0.9722825046728499	6.437951918270105e-9	17.30487680071189	0.4743306580280235	0.007533393318112871	-0.5509261591928567	0.49795184664482645	17.85580295990475	Q8NI22	MCFD2_HUMAN	MCFD2	TRUE	TRUE
P36222	0.8091693898164377	0.040131999785557926	-1.1101329521076009	0.29967383809022907	0.34376738167676957	-5.312898637669264	0.5094955517262086	4.202765685561663	P36222	CH3L1_HUMAN	CHI3L1	FALSE	TRUE
P35557	0.47312635391688607	0.00619419903662752	1.3020383370856008	-0.05432229922605095	0.8745571450935244	-6.72996411322221	0.527448653142937	8.032002450307811	P35557	HXK4_HUMAN	GCK	TRUE	TRUE
P09429	0.33807210543322846	0.07611966424773298	-2.440783403676515	-0.28031002634587343	0.04811536747762722	-2.8968479547334365	0.6183821317791018	0.45606455105692145	P09429	HMGB1_HUMAN	HMGB1	FALSE	TRUE
P14174	0.6496113832403078	0.0040206428053994134	1.9549079739850637	0.01145594816679592	0.9661657002035188	-6.730235879739739	0.6381554350735118	8.685143853724803	P14174	MIF_HUMAN	MIF	TRUE	TRUE
Q5JVS0	0.5752602887919068	0.028607273087564257	-0.660700003019131	-0.2318222767812968	0.5614037857764005	-6.001841204898925	0.8070825655732037	5.341141201879794	Q5JVS0	HABP4_HUMAN	HABP4	TRUE	TRUE
Q08380	2.3435317916802845	1.0721613797625859e-7	14.217484215178565	0.2415338361705681	0.27679908538667575	-5.2299630273240805	2.1019979555097166	19.447447242502648	Q08380	LG3BP_HUMAN	LGALS3BP	TRUE	TRUE
