well	slide	cluster	type
L16	Explant_DVP_05	8	fibrillar
L17	Explant_DVP_05	9	NA
L18	Explant_DVP_05	10	NA
L19	Explant_DVP_05	11	NA
L20	Explant_DVP_05	12	fibrillar
L21	Explant_DVP_05	13	NA
L22	Explant_DVP_05	14	intermediate
M1	Explant_DVP_05	15	NA
M2	Explant_DVP_05	16	intermediate
M3	Explant_DVP_05	17	fibrillar
M4	Explant_DVP_05	18	NA
M5	Explant_DVP_05	19	NA
M6	Explant_DVP_05	20	fibrillar
M7	Explant_DVP_05	21	NA
M8	Explant_DVP_05	22	NA
M9	Explant_DVP_05	23	globular
M10	Explant_DVP_05	24	NA
M11	Explant_DVP_05	25	NA
M12	Explant_DVP_05	26	NA
M13	Explant_DVP_05	27	NA
M14	Explant_DVP_05	28	globular
M15	Explant_DVP_05	29	fibrillar
M16	Explant_DVP_05	30	NA
M17	Explant_DVP_05	31	fibrillar
M18	Explant_DVP_05	32	NA
M19	Explant_DVP_05	33	NA
M20	Explant_DVP_05	34	intermediate
M21	Explant_DVP_05	35	NA
M22	Explant_DVP_05	36	fibrillar
N1	Explant_DVP_05	37	NA
N2	Explant_DVP_05	38	NA
N3	Explant_DVP_05	39	NA
N4	Explant_DVP_05	40	NA
N5	Explant_DVP_05	41	globular
N6	Explant_DVP_05	42	NA
N7	Explant_DVP_05	43	NA
N8	Explant_DVP_05	44	intermediate
N9	Explant_DVP_05	45	intermediate
N10	Explant_DVP_05	46	intermediate
N11	Explant_DVP_05	47	NA
N12	Explant_DVP_05	48	intermediate
N13	Explant_DVP_05	49	NA
N14	Explant_DVP_05	50	NA
N15	NA	NA	NA
N16	NA	NA	NA
N17	NA	NA	NA
N18	NA	NA	NA
N19	NA	NA	NA
N20	NA	NA	NA
N21	NA	NA	NA
N22	NA	NA	NA
