geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa04260	Cardiac muscle contraction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04260+781+6543+1337+59285+7168+1327+1347+1329+4634+1537+1350+444+7384+1345+488	0.5925944373787713	1.7481983269091794	0.0034782608695652175	0.06606599391318277	26	./Project_wg_result1733328043_GSEA/hsa04260.png	15	781;6543;1337;59285;7168;1327;1347;1329;4634;1537;1350;444;7384;1345;488	ASPH;ATP2A2;CACNA2D1;CACNG6;COX4I1;COX5B;COX6A1;COX6C;COX7A2;COX7C;CYC1;MYL3;SLC8A2;TPM1;UQCRC1
hsa05310	Asthma	http://www.kegg.jp/kegg-bin/show_pathway?hsa05310+3108+2207+3119	-0.8005908435696052	-1.8098044527150168	0.00199203187250996	0.07622368153814908	8	./Project_wg_result1733328043_GSEA/hsa05310.png	3	3108;2207;3119	FCER1G;HLA-DMA;HLA-DQB1
hsa04659	Th17 cell differentiation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04659+196+6257+3108+3119	-0.5429661981849165	-1.7678586868913555	0.004618937644341801	0.07665573205482487	33	./Project_wg_result1733328043_GSEA/hsa04659.png	4	196;6257;3108;3119	AHR;HLA-DMA;HLA-DQB1;RXRB
hsa04640	Hematopoietic cell lineage	http://www.kegg.jp/kegg-bin/show_pathway?hsa04640+3690+3108+3674+3119	-0.6248884673332629	-1.8398602749187734	0.009029345372460496	0.07830749441473157	20	./Project_wg_result1733328043_GSEA/hsa04640.png	4	3690;3108;3674;3119	HLA-DMA;HLA-DQB1;ITGA2B;ITGB3
hsa05321	Inflammatory bowel disease	http://www.kegg.jp/kegg-bin/show_pathway?hsa05321+3108+3119	-0.7060565374054653	-1.817449184970512	0.00847457627118644	0.08316972446009072	13	./Project_wg_result1733328043_GSEA/hsa05321.png	2	3108;3119	HLA-DMA;HLA-DQB1
hsa00670	One carbon pool by folate	http://www.kegg.jp/kegg-bin/show_pathway?hsa00670+4522+10841+1719+6470+160428+10840	-0.659446608820948	-1.7692004582533545	0.012195121951219513	0.08316972446009072	15	./Project_wg_result1733328043_GSEA/hsa00670.png	6	4522;10841;1719;6470;160428;10840	ALDH1L1;ALDH1L2;DHFR;FTCD;MTHFD1;SHMT1
hsa05140	Leishmaniasis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05140+3108+1535+3119	-0.5545738881216669	-1.7750034302974618	0	0.08686615665831697	30	./Project_wg_result1733328043_GSEA/hsa05140.png	3	3108;1535;3119	CYBA;HLA-DMA;HLA-DQB1
hsa03440	Homologous recombination	http://www.kegg.jp/kegg-bin/show_pathway?hsa03440+9577+79184+10111+6117+5424+4361+4683+29086+11073	-0.6706062585062602	-1.7835946968297551	0.008528784648187633	0.08892762846117393	13	./Project_wg_result1733328043_GSEA/hsa03440.png	9	9577;79184;10111;6117;5424;4361;4683;29086;11073	BABAM1;BABAM2;BRCC3;MRE11;NBN;POLD1;RAD50;RPA1;TOPBP1
hsa04658	Th1 and Th2 cell differentiation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04658+3108+3119	-0.5591573943129506	-1.7290942772984152	0.01276595744680851	0.09222488972675148	25	./Project_wg_result1733328043_GSEA/hsa04658.png	2	3108;3119	HLA-DMA;HLA-DQB1
hsa00830	Retinol metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00830+5959+8608+126+1551+8630+8694+125+124+316+1577+130+7367+131+127+1544	-0.5332153622692253	-1.840581367074187	0.0023752969121140144	0.09692471735156725	45	./Project_wg_result1733328043_GSEA/hsa00830.png	15	5959;8608;126;1551;8630;8694;125;124;316;1577;130;7367;131;127;1544	ADH1A;ADH1B;ADH1C;ADH4;ADH6;ADH7;AOX1;CYP1A2;CYP3A5;CYP3A7;DGAT1;HSD17B6;RDH16;RDH5;UGT2B17
hsa05320	Autoimmune thyroid disease	http://www.kegg.jp/kegg-bin/show_pathway?hsa05320+3108+3119	-0.6666293468023032	-1.7107651943657223	0.008264462809917356	0.09952948344729537	12	./Project_wg_result1733328043_GSEA/hsa05320.png	2	3108;3119	HLA-DMA;HLA-DQB1
hsa01523	Antifolate resistance	http://www.kegg.jp/kegg-bin/show_pathway?hsa01523+2350+8517+1244+1719+6470+113235	-0.6214806107011026	-1.7290945882357285	0.012738853503184714	0.09991029720398077	16	./Project_wg_result1733328043_GSEA/hsa01523.png	6	2350;8517;1244;1719;6470;113235	ABCC2;DHFR;FOLR2;IKBKG;SHMT1;SLC46A1
hsa05330	Allograft rejection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05330+3108+3119	-0.6710704518913208	-1.692783418476946	0.010245901639344262	0.10068334913005213	11	./Project_wg_result1733328043_GSEA/hsa05330.png	2	3108;3119	HLA-DMA;HLA-DQB1
hsa05332	Graft-versus-host disease	http://www.kegg.jp/kegg-bin/show_pathway?hsa05332+3108+3119	-0.6710704518913208	-1.692783418476946	0.010245901639344262	0.10068334913005213	11	./Project_wg_result1733328043_GSEA/hsa05332.png	2	3108;3119	HLA-DMA;HLA-DQB1
hsa04918	Thyroid hormone synthesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04918+2882+6906+7276+213+3309+2878+9601+821+468+7184	0.5480750002656495	1.6871196542044444	0.014545454545454545	0.11589157634328226	29	./Project_wg_result1733328043_GSEA/hsa04918.png	10	2882;6906;7276;213;3309;2878;9601;821;468;7184	ALB;ATF4;CANX;GPX3;GPX7;HSP90B1;HSPA5;PDIA4;SERPINA7;TTR
hsa00350	Tyrosine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00350+3242+126+6898+221+125+124+316+130+8639+131+127	-0.5404380911417699	-1.6475581352425153	0.016913319238900635	0.12923295646875635	24	./Project_wg_result1733328043_GSEA/hsa00350.png	11	3242;126;6898;221;125;124;316;130;8639;131;127	ADH1A;ADH1B;ADH1C;ADH4;ADH6;ADH7;ALDH3B1;AOC3;AOX1;HPD;TAT
hsa04672	Intestinal immune network for IgA production	http://www.kegg.jp/kegg-bin/show_pathway?hsa04672+3108+3119	-0.7308929748804847	-1.653636620326862	0.028925619834710745	0.13081355756709293	8	./Project_wg_result1733328043_GSEA/hsa04672.png	2	3108;3119	HLA-DMA;HLA-DQB1
hsa05168	Herpes simplex virus 1 infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05168+684+388569+1967+6432+4938+3054+3106+6430+10189+6429+8683+7249+3690+6427+3108+9451+3119	-0.40397124867456696	-1.6382307096798479	0.0024630541871921183	0.13179202491368222	91	./Project_wg_result1733328043_GSEA/hsa05168.png	17	684;388569;1967;6432;4938;3054;3106;6430;10189;6429;8683;7249;3690;6427;3108;9451;3119	ALYREF;BST2;EIF2AK3;EIF2B1;HCFC1;HLA-B;HLA-DMA;HLA-DQB1;ITGB3;OAS1;SRSF2;SRSF4;SRSF5;SRSF7;SRSF9;TSC2;ZNF324B
hsa00750	Vitamin B6 metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00750+57026+316+29968	-0.8452038439544303	-1.627035030151831	0.01059322033898305	0.13537472073657844	5	./Project_wg_result1733328043_GSEA/hsa00750.png	3	57026;316;29968	AOX1;PDXP;PSAT1
hsa03450	Non-homologous end-joining	http://www.kegg.jp/kegg-bin/show_pathway?hsa03450+2547+7520+2237+5591+10111+4361+3981	-0.7142488652754452	-1.6201158228022032	0.0288659793814433	0.136178999390698	8	./Project_wg_result1733328043_GSEA/hsa03450.png	7	2547;7520;2237;5591;10111;4361;3981	FEN1;LIG4;MRE11;PRKDC;RAD50;XRCC5;XRCC6
hsa04976	Bile secretion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04976+5244+6513+8647+10599+1244+366+64240+10864+7367+6580+28234	-0.4537850706378435	-1.6083013200919598	0.018561484918793503	0.14278438709756833	44	./Project_wg_result1733328043_GSEA/hsa04976.png	11	5244;6513;8647;10599;1244;366;64240;10864;7367;6580;28234	ABCB11;ABCB4;ABCC2;ABCG5;AQP9;SLC22A1;SLC22A7;SLC2A1;SLCO1B1;SLCO1B3;UGT2B17
hsa04940	Type I diabetes mellitus	http://www.kegg.jp/kegg-bin/show_pathway?hsa04940+3108+3119	-0.5920942995731611	-1.5780739930616534	0.03205128205128205	0.17129069004188582	14	./Project_wg_result1733328043_GSEA/hsa04940.png	2	3108;3119	HLA-DMA;HLA-DQB1
hsa05152	Tuberculosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05152+10332+4360+3687+5993+3108+2207+3119	-0.398947902439467	-1.5469017032377734	0.007142857142857143	0.1756160720330377	77	./Project_wg_result1733328043_GSEA/hsa05152.png	7	10332;4360;3687;5993;3108;2207;3119	CLEC4M;FCER1G;HLA-DMA;HLA-DQB1;ITGAX;MRC1;RFX5
hsa03420	Nucleotide excision repair	http://www.kegg.jp/kegg-bin/show_pathway?hsa03420+1642+8451+8450+7508+1022+6117+5432+81488+5985+1643+5424+4331+2073+5438+5111	-0.48102603553861284	-1.5482832250471015	0.024070021881838075	0.18041432536727373	28	./Project_wg_result1733328043_GSEA/hsa03420.png	15	1642;8451;8450;7508;1022;6117;5432;81488;5985;1643;5424;4331;2073;5438;5111	CDK7;CUL4A;CUL4B;DDB1;DDB2;ERCC5;MNAT1;PCNA;POLD1;POLR2C;POLR2I;POLR2M;RFC5;RPA1;XPC
hsa05416	Viral myocarditis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05416+857+3108+3119	-0.47748020462945984	-1.549722838290998	0.02832244008714597	0.18469584372705353	30	./Project_wg_result1733328043_GSEA/hsa05416.png	3	857;3108;3119	CAV1;HLA-DMA;HLA-DQB1
hsa03013	Nucleocytoplasmic transport	http://www.kegg.jp/kegg-bin/show_pathway?hsa03013+55746+30000+23279+84305+57510+4927+1434+79023+8563+51808+9939+55308+5976+23039+8021+9631+23225+4928+5903+84321+8480+79902+10921+11260+79228+23165+9688+51194+2733+7175+10284+129401+25909+53371+22916+4686+3838+10762+9984+10189+5411+22985+9775+7919+10250	-0.39185467390746226	-1.5542257876763124	0.0071090047393364926	0.18578836910161803	79	./Project_wg_result1733328043_GSEA/hsa03013.png	45	55746;30000;23279;84305;57510;4927;1434;79023;8563;51808;9939;55308;5976;23039;8021;9631;23225;4928;5903;84321;8480;79902;10921;11260;79228;23165;9688;51194;2733;7175;10284;129401;25909;53371;22916;4686;3838;10762;9984;10189;5411;22985;9775;7919;10250	ACIN1;AHCTF1;ALYREF;CSE1L;DDX19A;DDX39B;EIF4A3;GLE1;IPO11;KPNA2;NCBP1;NCBP2;NUP133;NUP155;NUP160;NUP205;NUP210;NUP214;NUP35;NUP37;NUP50;NUP54;NUP85;NUP88;NUP93;NUP98;PHAX;PNN;PYM1;RAE1;RANBP2;RBM8A;RNPS1;SAP18;SRRM1;THOC1;THOC3;THOC5;THOC6;TNPO2;TPR;UPF1;XPO5;XPO7;XPOT
hsa00514	Other types of O-glycan biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa00514+23509+23275+8985+285203+56983+2591+283464+2589+145173	0.6227215514615814	1.6204490606287076	0.022813688212927757	0.18771317208606972	15	./Project_wg_result1733328043_GSEA/hsa00514.png	9	23509;23275;8985;285203;56983;2591;283464;2589;145173	B3GLCT;EOGT;GALNT1;GALNT3;GXYLT1;PLOD3;POFUT1;POFUT2;POGLUT1
hsa03083	Polycomb repressive complex	http://www.kegg.jp/kegg-bin/show_pathway?hsa03083+23269+6045+80012+3065+10238+54881+3054+2033+5931+8535+1912+121536	-0.508873861359022	-1.5560675266746922	0.034482758620689655	0.1911304244804008	25	./Project_wg_result1733328043_GSEA/hsa03083.png	12	23269;6045;80012;3065;10238;54881;3054;2033;5931;8535;1912;121536	AEBP2;CBX4;DCAF7;EP300;HCFC1;HDAC1;MGA;PHC2;PHC3;RBBP7;RNF2;TEX10
hsa00982	Drug metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00982+2944+1571+221+2941+125+124+316+1577+2939+130+7367+131+127+1544	-0.4074481312940791	-1.494858686487691	0.018140589569160998	0.20634371005189023	54	./Project_wg_result1733328043_GSEA/hsa00982.png	14	2944;1571;221;2941;125;124;316;1577;2939;130;7367;131;127;1544	ADH1A;ADH1B;ADH4;ADH6;ADH7;ALDH3B1;AOX1;CYP1A2;CYP2E1;CYP3A5;GSTA2;GSTA4;GSTM1;UGT2B17
hsa00980	Metabolism of xenobiotics by cytochrome P450	http://www.kegg.jp/kegg-bin/show_pathway?hsa00980+2944+1571+221+2941+125+124+1577+2939+130+7367+131+127+1544	-0.4065141942539615	-1.4975357277955905	0.02107728337236534	0.2091069109618971	55	./Project_wg_result1733328043_GSEA/hsa00980.png	13	2944;1571;221;2941;125;124;1577;2939;130;7367;131;127;1544	ADH1A;ADH1B;ADH4;ADH6;ADH7;ALDH3B1;CYP1A2;CYP2E1;CYP3A5;GSTA2;GSTA4;GSTM1;UGT2B17
hsa04330	Notch signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04330+3065+22938+1487+2033+7088+5663+23013	-0.5611690917380054	-1.5018724498384597	0.03805496828752643	0.21016349603953693	15	./Project_wg_result1733328043_GSEA/hsa04330.png	7	3065;22938;1487;2033;7088;5663;23013	CTBP1;EP300;HDAC1;PSEN1;SNW1;SPEN;TLE1
hsa04727	GABAergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04727+18+5578+10991+2773+10243+6539+27165	-0.5300502909887349	-1.504071219467719	0.05220883534136546	0.21347583866381598	18	./Project_wg_result1733328043_GSEA/hsa04727.png	7	18;5578;10991;2773;10243;6539;27165	ABAT;GLS2;GNAI3;GPHN;PRKCA;SLC38A3;SLC6A12
hsa00270	Cysteine and methionine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00270+4144+27430+4143+10993+875+2729+635+1786+64902+191+6898+23743+1491+29968+26227+27232	-0.4345290262959516	-1.5088842717645312	0.03764705882352941	0.21385281971430506	40	./Project_wg_result1733328043_GSEA/hsa00270.png	16	4144;27430;4143;10993;875;2729;635;1786;64902;191;6898;23743;1491;29968;26227;27232	AGXT2;AHCY;BHMT;BHMT2;CBS;CTH;DNMT1;GCLC;GNMT;MAT1A;MAT2A;MAT2B;PHGDH;PSAT1;SDS;TAT
hsa04145	Phagosome	http://www.kegg.jp/kegg-bin/show_pathway?hsa04145+4074+3106+2214+3690+10332+4360+3108+1535+81027+8685+3119	-0.3779700233103864	-1.5117265927704961	0.010230179028132993	0.21659425855415668	86	./Project_wg_result1733328043_GSEA/hsa04145.png	11	4074;3106;2214;3690;10332;4360;3108;1535;81027;8685;3119	CLEC4M;CYBA;FCGR3A;HLA-B;HLA-DMA;HLA-DQB1;ITGB3;M6PR;MARCO;MRC1;TUBB1
hsa03082	ATP-dependent chromatin remodeling	http://www.kegg.jp/kegg-bin/show_pathway?hsa03082+9031+54815+9219+6601+5928+6594+51377+1108+6598+6605+3065+8295+6603+5931+317772+54617	-0.4443356226161306	-1.4803930555572695	0.0467706013363029	0.21993365378105748	32	./Project_wg_result1733328043_GSEA/hsa03082.png	16	9031;54815;9219;6601;5928;6594;51377;1108;6598;6605;3065;8295;6603;5931;317772;54617	BAZ1B;CHD4;GATAD2A;H2AC21;HDAC1;INO80;MTA2;RBBP4;RBBP7;SMARCA1;SMARCB1;SMARCC2;SMARCD2;SMARCE1;TRRAP;UCHL5
hsa05034	Alcoholism	http://www.kegg.jp/kegg-bin/show_pathway?hsa05034+5499+5604+369+2778+1385+5501+4893+2905+3065+2773+2030+2885+121504+317772+83933	-0.4266202204450092	-1.4352958722639406	0.06954436450839328	0.2782468203766694	38	./Project_wg_result1733328043_GSEA/hsa05034.png	15	5499;5604;369;2778;1385;5501;4893;2905;3065;2773;2030;2885;121504;317772;83933	ARAF;CREB1;GNAI3;GNAS;GRB2;GRIN2C;H2AC21;H4C16;HDAC1;HDAC10;MAP2K1;NRAS;PPP1CA;PPP1CC;SLC29A1
hsa05145	Toxoplasmosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05145+3310+3108+3119	-0.40609080329176095	-1.43806291570351	0.052873563218390804	0.28046679304041705	47	./Project_wg_result1733328043_GSEA/hsa05145.png	3	3310;3108;3119	HLA-DMA;HLA-DQB1;HSPA6
hsa03430	Mismatch repair	http://www.kegg.jp/kegg-bin/show_pathway?hsa03430+6117+5985+5424+4436+2956+5111	-0.535965360733015	-1.4245892868487022	0.08666666666666667	0.28927575013629125	14	./Project_wg_result1733328043_GSEA/hsa03430.png	6	6117;5985;5424;4436;2956;5111	MSH2;MSH6;PCNA;POLD1;RFC5;RPA1
hsa00220	Arginine biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa00220+435+84706+2875+162417+445+27165	-0.5065281797553878	-1.4178710019916347	0.07894736842105263	0.29327580550246585	17	./Project_wg_result1733328043_GSEA/hsa00220.png	6	435;84706;2875;162417;445;27165	ASL;ASS1;GLS2;GPT;GPT2;NAGS
hsa04514	Cell adhesion molecules	http://www.kegg.jp/kegg-bin/show_pathway?hsa04514+3106+6614+3108+6382+3119	-0.3998586608523921	-1.3905338430421774	0.04555808656036447	0.320340532123756	39	./Project_wg_result1733328043_GSEA/hsa04514.png	5	3106;6614;3108;6382;3119	HLA-B;HLA-DMA;HLA-DQB1;SDC1;SIGLEC1
hsa00565	Ether lipid metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00565+8540+5051+5337+5338+254531+8605+151056+5048+23646+10390+79153+5049	0.5848986394320387	1.543183145240365	0.048561151079136694	0.32407593474388285	16	./Project_wg_result1733328043_GSEA/hsa00565.png	12	8540;5051;5337;5338;254531;8605;151056;5048;23646;10390;79153;5049	AGPS;CEPT1;GDPD3;LPCAT4;PAFAH1B1;PAFAH1B2;PAFAH2;PLA2G4C;PLB1;PLD1;PLD2;PLD3
hsa05322	Systemic lupus erythematosus	http://www.kegg.jp/kegg-bin/show_pathway?hsa05322+2214+317772+6628+3108+3119	-0.4057504784670096	-1.3922662002600916	0.07159904534606205	0.3249080680502831	36	./Project_wg_result1733328043_GSEA/hsa05322.png	5	2214;317772;6628;3108;3119	FCGR3A;H2AC21;HLA-DMA;HLA-DQB1;SNRPB
hsa04612	Antigen processing and presentation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04612+3310+5993+3108+3119	-0.4241896137849135	-1.3959919250617878	0.061611374407582936	0.3255774829056936	35	./Project_wg_result1733328043_GSEA/hsa04612.png	4	3310;5993;3108;3119	HLA-DMA;HLA-DQB1;HSPA6;RFX5
